T2_id,study_accession,run_accession,file_name,sub_file_name,file_path,format,semantic_format,size,strategy,strategy_original,data_level
HRR234028.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234028.indel.vcf.gz,HRA000873,HRR234028,HRR234028.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234028.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1216247,WXS,WES,2
HRR234028.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234028.indel.vcf.gz.tbi,HRA000873,HRR234028,HRR234028.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234028.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,93690,WXS,WES,2
HRR234031.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234031.indel.vcf.gz,HRA000873,HRR234031,HRR234031.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234031.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1081831,WXS,WES,2
HRR234031.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234031.indel.vcf.gz.tbi,HRA000873,HRR234031,HRR234031.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234031.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,86799,WXS,WES,2
HRR234032.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234032.indel.vcf.gz,HRA000873,HRR234032,HRR234032.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234032.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1323355,WXS,WES,2
HRR234032.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234032.indel.vcf.gz.tbi,HRA000873,HRR234032,HRR234032.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234032.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,100914,WXS,WES,2
HRR234034.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234034.indel.vcf.gz,HRA000873,HRR234034,HRR234034.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234034.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1090498,WXS,WES,2
HRR234034.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234034.indel.vcf.gz.tbi,HRA000873,HRR234034,HRR234034.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234034.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,88917,WXS,WES,2
HRR234036.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234036.indel.vcf.gz,HRA000873,HRR234036,HRR234036.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234036.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,3361992,WXS,WES,2
HRR234036.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234036.indel.vcf.gz.tbi,HRA000873,HRR234036,HRR234036.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234036.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,186770,WXS,WES,2
HRR234039.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234039.indel.vcf.gz,HRA000873,HRR234039,HRR234039.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234039.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,690664,WXS,WES,2
HRR234039.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234039.indel.vcf.gz.tbi,HRA000873,HRR234039,HRR234039.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234039.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,61798,WXS,WES,2
HRR234041.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234041.indel.vcf.gz,HRA000873,HRR234041,HRR234041.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234041.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1413111,WXS,WES,2
HRR234041.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234041.indel.vcf.gz.tbi,HRA000873,HRR234041,HRR234041.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234041.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,103148,WXS,WES,2
HRR234043.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234043.indel.vcf.gz,HRA000873,HRR234043,HRR234043.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234043.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1015778,WXS,WES,2
HRR234043.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234043.indel.vcf.gz.tbi,HRA000873,HRR234043,HRR234043.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234043.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,84676,WXS,WES,2
HRR234044.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234044.indel.vcf.gz,HRA000873,HRR234044,HRR234044.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234044.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1188671,WXS,WES,2
HRR234044.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234044.indel.vcf.gz.tbi,HRA000873,HRR234044,HRR234044.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234044.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,93316,WXS,WES,2
HRR234047.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234047.indel.vcf.gz,HRA000873,HRR234047,HRR234047.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234047.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1058445,WXS,WES,2
HRR234047.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234047.indel.vcf.gz.tbi,HRA000873,HRR234047,HRR234047.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234047.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,85713,WXS,WES,2
HRR234048.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234048.indel.vcf.gz,HRA000873,HRR234048,HRR234048.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234048.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1298359,WXS,WES,2
HRR234048.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234048.indel.vcf.gz.tbi,HRA000873,HRR234048,HRR234048.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234048.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,97342,WXS,WES,2
