t2_id,study_accession,run_accession,file_name,sub_file_name,file_path,format,semantic_format,size,strategy,data_level
HRR067354.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067354.BQSR.bam.bai,HRA000021,HRR067354,HRR067354.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067354.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9197152,WGS,2
HRR067355.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam,HRA000021,HRR067355,HRR067355.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,59754073173,WGS,2
HRR067355.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam.bai,HRA000021,HRR067355,HRR067355.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9060840,WGS,2
HRR067356.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam,HRA000021,HRR067356,HRR067356.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,140088000000,WGS,2
HRR067356.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam.bai,HRA000021,HRR067356,HRR067356.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9359768,WGS,2
HRR067357.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam,HRA000021,HRR067357,HRR067357.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,52288149772,WGS,2
HRR067357.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam.bai,HRA000021,HRR067357,HRR067357.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,8982016,WGS,2
HRR067358.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam,HRA000021,HRR067358,HRR067358.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,169253000000,WGS,2
HRR067358.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam.bai,HRA000021,HRR067358,HRR067358.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9258600,WGS,2
HRR067359.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam,HRA000021,HRR067359,HRR067359.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,67383349664,WGS,2
