study_accession,individual_accession,sample_accession,experiment_accession,run_accession,file_name,file_path,file_format,strategy,T1_id,semantic_format,size,platform,data_level,individual_name,sample_name
HRA000021,HRI035289,HRS039798,HRX048840,HRR067353,HRR067353_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_2.fastq.gz,fastq.gz,WGS,HRR067353_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0008,BDESCC0008N
HRA000021,HRI035289,HRS039799,HRX048841,HRR067354,HRR067354_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_1.fastq.gz,fastq.gz,WGS,HRR067354_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0008,BDESCC0008T
HRA000021,HRI035289,HRS039799,HRX048841,HRR067354,HRR067354_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_2.fastq.gz,fastq.gz,WGS,HRR067354_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0008,BDESCC0008T
HRA000021,HRI035290,HRS039800,HRX048842,HRR067355,HRR067355_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_1.fastq.gz,fastq.gz,WGS,HRR067355_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0009,BDESCC0009N
HRA000021,HRI035290,HRS039800,HRX048842,HRR067355,HRR067355_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_2.fastq.gz,fastq.gz,WGS,HRR067355_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0009,BDESCC0009N
HRA000021,HRI035290,HRS039801,HRX048843,HRR067356,HRR067356_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_1.fastq.gz,fastq.gz,WGS,HRR067356_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0009,BDESCC0009T
HRA000021,HRI035290,HRS039801,HRX048843,HRR067356,HRR067356_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_2.fastq.gz,fastq.gz,WGS,HRR067356_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0009,BDESCC0009T
HRA000021,HRI035291,HRS039802,HRX048844,HRR067357,HRR067357_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_1.fastq.gz,fastq.gz,WGS,HRR067357_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0010,BDESCC0010N
HRA000021,HRI035291,HRS039802,HRX048844,HRR067357,HRR067357_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_2.fastq.gz,fastq.gz,WGS,HRR067357_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0010,BDESCC0010N
HRA000021,HRI035291,HRS039803,HRX048845,HRR067358,HRR067358_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_1.fastq.gz,fastq.gz,WGS,HRR067358_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0010,BDESCC0010T
