T1_id,sample_accession
HRR067372_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_2.fastq.gz,HRS039817
HRR067373_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_1.fastq.gz,HRS039818
HRR067373_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_2.fastq.gz,HRS039818
HRR067374_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_1.fastq.gz,HRS039819
HRR067374_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_2.fastq.gz,HRS039819
HRR067375_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_1.fastq.gz,HRS039820
HRR067375_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_2.fastq.gz,HRS039820
HRR067376_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067376_1.fastq.gz,HRS039821
HRR067376_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067376_2.fastq.gz,HRS039821
HRR067377_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067377_1.fastq.gz,HRS039822
HRR067377_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067377_2.fastq.gz,HRS039822
HRR067378_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067378_1.fastq.gz,HRS039823
HRR067378_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067378_2.fastq.gz,HRS039823
HRR067379_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067379_1.fastq.gz,HRS039824
HRR067379_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067379_2.fastq.gz,HRS039824
HRR067380_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067380_1.fastq.gz,HRS039825
HRR067380_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067380_2.fastq.gz,HRS039825
HRR067381_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067381_1.fastq.gz,HRS039826
HRR067381_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067381_2.fastq.gz,HRS039826
HRR067382_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067382_1.fastq.gz,HRS039827
HRR067382_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067382_2.fastq.gz,HRS039827
HRR067383_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067383_1.fastq.gz,HRS039828
HRR067383_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067383_2.fastq.gz,HRS039828
