t1_id,semantic_format
HRR067366_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067367_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067367_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067368_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067368_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067369_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067369_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067370_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067370_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067371_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067371_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067372_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067372_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067373_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067373_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067374_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067374_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067375_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067375_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067376_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067376_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067376_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067376_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067377_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067377_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067377_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067377_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067378_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067378_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067378_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067378_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067379_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067379_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067379_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067379_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067380_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067380_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067380_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067380_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067381_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067381_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067381_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067381_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067382_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067382_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067382_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067382_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
