T2_id,run_accession,T1_id
HRR067352.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067352.BQSR.bam.bai,HRR067352,HRR067352_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067352_1.fastq.gz
HRR067352.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067352.BQSR.bam.bai,HRR067352,HRR067352_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067352_2.fastq.gz
HRR067353.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam,HRR067353,HRR067353_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_1.fastq.gz
HRR067353.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam,HRR067353,HRR067353_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_2.fastq.gz
HRR067353.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam.bai,HRR067353,HRR067353_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_1.fastq.gz
HRR067353.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam.bai,HRR067353,HRR067353_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_2.fastq.gz
HRR067354.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067354.BQSR.bam,HRR067354,HRR067354_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_1.fastq.gz
HRR067354.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067354.BQSR.bam,HRR067354,HRR067354_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_2.fastq.gz
HRR067354.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067354.BQSR.bam.bai,HRR067354,HRR067354_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_1.fastq.gz
HRR067354.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067354.BQSR.bam.bai,HRR067354,HRR067354_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_2.fastq.gz
HRR067355.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam,HRR067355,HRR067355_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_1.fastq.gz
HRR067355.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam,HRR067355,HRR067355_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_2.fastq.gz
HRR067355.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam.bai,HRR067355,HRR067355_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_1.fastq.gz
HRR067355.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067355.BQSR.bam.bai,HRR067355,HRR067355_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_2.fastq.gz
HRR067356.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam,HRR067356,HRR067356_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_1.fastq.gz
HRR067356.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam,HRR067356,HRR067356_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_2.fastq.gz
HRR067356.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam.bai,HRR067356,HRR067356_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_1.fastq.gz
HRR067356.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067356.BQSR.bam.bai,HRR067356,HRR067356_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_2.fastq.gz
