type,start,end,properties_json
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:log,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:zip,{}
ALLOW_FORMAT,io_slot:multiqc::output::quality_control_report,catalog_format:html,{}
ALLOW_FORMAT,io_slot:multiqc::output::quality_control_report,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::in::fastq_2,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::out::bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::out::list,catalog_format:list,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::fastq_1,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::fastq_2,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::gtf_file,catalog_format:gtf,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::rrna_star_index,catalog_format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::rsem_index,catalog_format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::star_genome_index,catalog_format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::aligned_bam,catalog_format:bai,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::aligned_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::count_matrix,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::count_matrix,catalog_format:txt,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::expression_matrix,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::quality_control,catalog_format:html,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::quality_control,catalog_format:zip,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::in::counts,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::assignments,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::stability,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:rsem::input::genome_annotation,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:rsem::input::genome_annotation,catalog_format:index,{}
ALLOW_FORMAT,io_slot:rsem::input::transcriptome_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:rsem::input::transcriptome_bam,catalog_format:index,{}
ALLOW_FORMAT,io_slot:rsem::output::expression_abundance_matrix,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:samtools::input::aligned_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:samtools::input::aligned_bam,catalog_format:sam,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,catalog_format:bai,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,catalog_format:txt,{}
ALLOW_FORMAT,io_slot:snpeff::input::filtered_vcf,catalog_format:database,{}
ALLOW_FORMAT,io_slot:snpeff::input::filtered_vcf,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:snpeff::input::genome_annotation,catalog_format:database,{}
ALLOW_FORMAT,io_slot:snpeff::input::genome_annotation,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:snpeff::output::annotated_vcf,catalog_format:html/txt,{}
ALLOW_FORMAT,io_slot:snpeff::output::annotated_vcf,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:star::input::clean_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::input::clean_fastq_read,catalog_format:index,{}
ALLOW_FORMAT,io_slot:star::input::genome_annotation,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::input::genome_annotation,catalog_format:index,{}
ALLOW_FORMAT,io_slot:star::output::aligned_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:star::output::clean_fastq_read,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:star::output::clean_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::output::transcriptome_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:star::output::transcriptome_bam,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::clinical,catalog_format:xls,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::clinical,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::maf,catalog_format:maf,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::metainfo,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::statistics,catalog_format:txt,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::clinical,catalog_format:xls,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::clinical,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::maf,catalog_format:maf,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::metainfo,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::statistics,catalog_format:json,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::statistics,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::tmb,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:trim_galore::input::raw_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:trim_galore::output::clean_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:trim_galore::output::clean_fastq_read,catalog_format:txt/html,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::in::maf,catalog_format:maf,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::maf,catalog_format:maf,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::statistics,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::in::clinical,catalog_format:xls,{}
ALLOW_FORMAT,io_slot:wgcna::in::clinical,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:wgcna::in::counts,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::in::metainfo,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:wgcna::out::archives,catalog_format:gz,{}
ALLOW_FORMAT,io_slot:wgcna::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:wgcna::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:wgcna::out::hub_genes,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::out::modules,catalog_format:tsv,{}
