tool_id,function
T001,质控修剪
T002,质量评估
T006,比对参考基因组
T007,BAM处理与排序
T008,变异检测与校正
T009,VCF过滤与标准化
T010,变异功能注释
T004,RNA接头修剪
T005,RNA剪接比对
T011,基因定量
T012,基因水平计数
T013,报告汇总
T029,差异表达与GO富集
T030,差异表达与通路富集
T031,驱动基因性别分层
T032,生存关联分析
T033,免疫浸润估计
T034,FASTQ转uBAM
T035,无监督聚类
T036,生存曲线与Cox回归
T037,TMB与生存分析
T038,突变景观可视化
T039,加权共表达网络
