sample_accession,specimen_types,tissue_type
HRS040045,Patient Solid Tissue,Tumor
HRS040046,Peritumoral,Normal
HRS040047,Patient Solid Tissue,Tumor
HRS040048,Peritumoral,Normal
HRS040049,Patient Solid Tissue,Tumor
HRS040050,Peritumoral,Normal
HRS040051,Patient Solid Tissue,Tumor
HRS040052,Peritumoral,Normal
HRS040053,Patient Solid Tissue,Tumor
HRS040054,Peritumoral,Normal
HRS040055,Patient Solid Tissue,Tumor
HRS040056,Peritumoral,Normal
HRS040057,Patient Solid Tissue,Tumor
HRS040058,Peritumoral,Normal
HRS040059,Patient Solid Tissue,Tumor
HRS040060,Peritumoral,Normal
HRS040061,Patient Solid Tissue,Tumor
HRS040062,Peritumoral,Normal
HRS040063,Patient Solid Tissue,Tumor
HRS040064,Peritumoral,Normal
HRS040065,Patient Solid Tissue,Tumor
HRS040066,Peritumoral,Normal
HRS040067,Patient Solid Tissue,Tumor
HRS040068,Peritumoral,Normal
HRS040069,Patient Solid Tissue,Tumor
HRS040070,Peritumoral,Normal
HRS040071,Patient Solid Tissue,Tumor
HRS040072,Peritumoral,Normal
HRS040073,Patient Solid Tissue,Tumor
HRS040074,Peritumoral,Normal
HRS040075,Patient Solid Tissue,Tumor
HRS040076,Peritumoral,Normal
HRS040077,Patient Solid Tissue,Tumor
HRS040078,Peritumoral,Normal
HRS040079,Patient Solid Tissue,Tumor
HRS040080,Peritumoral,Normal
HRS040081,Patient Solid Tissue,Tumor
HRS040082,Peritumoral,Normal
HRS040083,Patient Solid Tissue,Tumor
HRS040084,Peritumoral,Normal
HRS040085,Patient Solid Tissue,Tumor
HRS040086,Peritumoral,Normal
HRS040087,Patient Solid Tissue,Tumor
HRS040088,Peritumoral,Normal
HRS040089,Patient Solid Tissue,Tumor
HRS040090,Peritumoral,Normal
HRS040091,Patient Solid Tissue,Tumor
HRS040092,Peritumoral,Normal
HRS040093,Patient Solid Tissue,Tumor
HRS040094,Peritumoral,Normal
HRS040095,Patient Solid Tissue,Tumor
HRS040096,Peritumoral,Normal
HRS040097,Patient Solid Tissue,Tumor
HRS040098,Peritumoral,Normal
HRS040099,Patient Solid Tissue,Tumor
HRS040100,Peritumoral,Normal
HRS040101,Patient Solid Tissue,Tumor
HRS040102,Peritumoral,Normal
HRS040103,Patient Solid Tissue,Tumor
HRS040104,Peritumoral,Normal
HRS040105,Patient Solid Tissue,Tumor
HRS040106,Peritumoral,Normal
HRS040107,Patient Solid Tissue,Tumor
HRS040108,Peritumoral,Normal
HRS040109,Patient Solid Tissue,Tumor
HRS040110,Peritumoral,Normal
HRS040111,Patient Solid Tissue,Tumor
HRS040112,Peritumoral,Normal
HRS040113,Patient Solid Tissue,Tumor
HRS040114,Peritumoral,Normal
HRS040115,Patient Solid Tissue,Tumor
HRS040116,Peritumoral,Normal
HRS040117,Patient Solid Tissue,Tumor
HRS040118,Peritumoral,Normal
HRS040119,Patient Solid Tissue,Tumor
HRS040120,Peritumoral,Normal
HRS040121,Patient Solid Tissue,Tumor
HRS040122,Peritumoral,Normal
HRS040123,Patient Solid Tissue,Tumor
HRS040124,Peritumoral,Normal
HRS040125,Patient Solid Tissue,Tumor
HRS040126,Peritumoral,Normal
HRS040127,Patient Solid Tissue,Tumor
HRS040128,Peritumoral,Normal
HRS040129,Patient Solid Tissue,Tumor
HRS040130,Peritumoral,Normal
HRS040131,Patient Solid Tissue,Tumor
HRS040132,Peritumoral,Normal
HRS040133,Patient Solid Tissue,Tumor
HRS040134,Peritumoral,Normal
HRS040135,Patient Solid Tissue,Tumor
HRS040136,Peritumoral,Normal
HRS040137,Patient Solid Tissue,Tumor
HRS040138,Peritumoral,Normal
HRS040139,Patient Solid Tissue,Tumor
HRS040140,Peritumoral,Normal
HRS040141,Patient Solid Tissue,Tumor
HRS040142,Peritumoral,Normal
HRS040143,Patient Solid Tissue,Tumor
HRS040144,Peritumoral,Normal
HRS040145,Patient Solid Tissue,Tumor
HRS040146,Peritumoral,Normal
HRS040147,Patient Solid Tissue,Tumor
HRS040148,Peritumoral,Normal
HRS040149,Patient Solid Tissue,Tumor
HRS040150,Peritumoral,Normal
HRS040151,Patient Solid Tissue,Tumor
HRS040152,Peritumoral,Normal
HRS040153,Patient Solid Tissue,Tumor
HRS040154,Peritumoral,Normal
HRS040155,Patient Solid Tissue,Tumor
HRS040156,Peritumoral,Normal
HRS040157,Patient Solid Tissue,Tumor
HRS040158,Peritumoral,Normal
HRS040159,Patient Solid Tissue,Tumor
HRS040160,Peritumoral,Normal
HRS040161,Patient Solid Tissue,Tumor
HRS040162,Peritumoral,Normal
HRS040163,Patient Solid Tissue,Tumor
HRS040164,Peritumoral,Normal
HRS040165,Patient Solid Tissue,Tumor
HRS040166,Peritumoral,Normal
HRS040167,Patient Solid Tissue,Tumor
HRS040168,Peritumoral,Normal
HRS040169,Patient Solid Tissue,Tumor
HRS040170,Peritumoral,Normal
HRS040171,Patient Solid Tissue,Tumor
HRS040172,Peritumoral,Normal
HRS040173,Patient Solid Tissue,Tumor
HRS040174,Peritumoral,Normal
HRS040175,Patient Solid Tissue,Tumor
HRS040176,Peritumoral,Normal
HRS040177,Patient Solid Tissue,Tumor
HRS040178,Peritumoral,Normal
HRS040179,Patient Solid Tissue,Tumor
HRS040180,Peritumoral,Normal
HRS040181,Patient Solid Tissue,Tumor
HRS040182,Peritumoral,Normal
HRS040183,Patient Solid Tissue,Tumor
HRS040184,Peritumoral,Normal
HRS040185,Patient Solid Tissue,Tumor
HRS040186,Peritumoral,Normal
HRS040187,Patient Solid Tissue,Tumor
HRS040188,Peritumoral,Normal
HRS040189,Patient Solid Tissue,Tumor
HRS040190,Peritumoral,Normal
HRS040191,Patient Solid Tissue,Tumor
HRS040192,Peritumoral,Normal
HRS040193,Patient Solid Tissue,Tumor
HRS040194,Peritumoral,Normal
HRS040195,Patient Solid Tissue,Tumor
HRS040196,Peritumoral,Normal
HRS040197,Patient Solid Tissue,Tumor
HRS040198,Peritumoral,Normal
HRS040199,Patient Solid Tissue,Tumor
HRS040200,Peritumoral,Normal
HRS040201,Patient Solid Tissue,Tumor
HRS040202,Peritumoral,Normal
HRS040203,Patient Solid Tissue,Tumor
HRS040204,Peritumoral,Normal
HRS040205,Patient Solid Tissue,Tumor
HRS040206,Peritumoral,Normal
HRS040207,Patient Solid Tissue,Tumor
HRS040208,Peritumoral,Normal
HRS040209,Patient Solid Tissue,Tumor
HRS040210,Peritumoral,Normal
HRS040211,Patient Solid Tissue,Tumor
HRS040212,Peritumoral,Normal
HRS040213,Patient Solid Tissue,Tumor
HRS040214,Peritumoral,Normal
HRS040215,Patient Solid Tissue,Tumor
HRS040216,Peritumoral,Normal
HRS040217,Patient Solid Tissue,Tumor
HRS040218,Peritumoral,Normal
HRS040219,Patient Solid Tissue,Tumor
HRS040220,Peritumoral,Normal
HRS040221,Patient Solid Tissue,Tumor
HRS040222,Peritumoral,Normal
HRS040223,Patient Solid Tissue,Tumor
HRS040224,Peritumoral,Normal
HRS040225,Patient Solid Tissue,Tumor
HRS040226,Peritumoral,Normal
HRS040227,Patient Solid Tissue,Tumor
HRS040228,Peritumoral,Normal
HRS040229,Patient Solid Tissue,Tumor
HRS040230,Peritumoral,Normal
HRS040231,Patient Solid Tissue,Tumor
HRS040232,Peritumoral,Normal
HRS040233,Patient Solid Tissue,Tumor
HRS040234,Peritumoral,Normal
HRS040235,Patient Solid Tissue,Tumor
HRS040236,Peritumoral,Normal
HRS040237,Patient Solid Tissue,Tumor
HRS040238,Peritumoral,Normal
HRS040239,Patient Solid Tissue,Tumor
HRS040240,Peritumoral,Normal
HRS040241,Patient Solid Tissue,Tumor
HRS040242,Peritumoral,Normal
HRS040243,Patient Solid Tissue,Tumor
HRS040244,Peritumoral,Normal
HRS040245,Patient Solid Tissue,Tumor
HRS040246,Peritumoral,Normal
HRS040247,Patient Solid Tissue,Tumor
HRS040248,Peritumoral,Normal
HRS040249,Patient Solid Tissue,Tumor
HRS040250,Peritumoral,Normal
HRS040251,Patient Solid Tissue,Tumor
HRS040252,Peritumoral,Normal
HRS040253,Patient Solid Tissue,Tumor
HRS040254,Peritumoral,Normal
HRS040255,Patient Solid Tissue,Tumor
HRS040256,Peritumoral,Normal
HRS040257,Patient Solid Tissue,Tumor
HRS040258,Peritumoral,Normal
HRS040259,Patient Solid Tissue,Tumor
HRS040260,Peritumoral,Normal
HRS040261,Patient Solid Tissue,Tumor
HRS040262,Peritumoral,Normal
HRS040263,Patient Solid Tissue,Tumor
HRS040264,Peritumoral,Normal
HRS040265,Patient Solid Tissue,Tumor
HRS040266,Peritumoral,Normal
HRS040267,Patient Solid Tissue,Tumor
HRS040268,Peritumoral,Normal
HRS040269,Patient Solid Tissue,Tumor
HRS040270,Peritumoral,Normal
HRS040271,Patient Solid Tissue,Tumor
HRS040272,Peritumoral,Normal
HRS040273,Patient Solid Tissue,Tumor
HRS040274,Peritumoral,Normal
HRS040275,Patient Solid Tissue,Tumor
HRS040276,Peritumoral,Normal
HRS040277,Patient Solid Tissue,Tumor
HRS040278,Peritumoral,Normal
HRS040279,Patient Solid Tissue,Tumor
HRS040280,Peritumoral,Normal
HRS040281,Patient Solid Tissue,Tumor
HRS040282,Peritumoral,Normal
HRS040283,Patient Solid Tissue,Tumor
HRS040284,Peritumoral,Normal
HRS040285,Patient Solid Tissue,Tumor
HRS040286,Peritumoral,Normal
HRS040287,Patient Solid Tissue,Tumor
HRS040288,Peritumoral,Normal
HRS040289,Patient Solid Tissue,Tumor
HRS040290,Peritumoral,Normal
HRS040291,Patient Solid Tissue,Tumor
HRS040292,Peritumoral,Normal
HRS040293,Patient Solid Tissue,Tumor
HRS040294,Peritumoral,Normal
HRS040295,Patient Solid Tissue,Tumor
HRS040296,Peritumoral,Normal
HRS040297,Patient Solid Tissue,Tumor
HRS040298,Peritumoral,Normal
HRS040299,Patient Solid Tissue,Tumor
HRS040300,Peritumoral,Normal
HRS040301,Patient Solid Tissue,Tumor
HRS040302,Peritumoral,Normal
HRS040303,Patient Solid Tissue,Tumor
HRS040304,Peritumoral,Normal
HRS040305,Patient Solid Tissue,Tumor
HRS040306,Peritumoral,Normal
HRS040307,Patient Solid Tissue,Tumor
HRS040308,Peritumoral,Normal
HRS040309,Patient Solid Tissue,Tumor
HRS040310,Peritumoral,Normal
HRS040311,Patient Solid Tissue,Tumor
HRS040312,Peritumoral,Normal
HRS040313,Patient Solid Tissue,Tumor
HRS040314,Peritumoral,Normal
HRS040315,Patient Solid Tissue,Tumor
HRS040316,Peritumoral,Normal
HRS040317,Patient Solid Tissue,Tumor
HRS040318,Peritumoral,Normal
HRS040319,Patient Solid Tissue,Tumor
HRS040320,Peritumoral,Normal
HRS040321,Patient Solid Tissue,Tumor
HRS040322,Peritumoral,Normal
HRS040323,Patient Solid Tissue,Tumor
HRS040324,Peritumoral,Normal
HRS040325,Patient Solid Tissue,Tumor
HRS040326,Peritumoral,Normal
HRS040327,Patient Solid Tissue,Tumor
HRS040328,Peritumoral,Normal
HRS040329,Patient Solid Tissue,Tumor
HRS040330,Peritumoral,Normal
HRS040331,Patient Solid Tissue,Tumor
HRS040332,Peritumoral,Normal
HRS040333,Patient Solid Tissue,Tumor
HRS040334,Peritumoral,Normal
HRS040335,Patient Solid Tissue,Tumor
HRS040336,Peritumoral,Normal
HRS040337,Patient Solid Tissue,Tumor
HRS040338,Peritumoral,Normal
HRS040339,Patient Solid Tissue,Tumor
HRS040340,Peritumoral,Normal
HRS040341,Patient Solid Tissue,Tumor
HRS040342,Peritumoral,Normal
HRS040343,Patient Solid Tissue,Tumor
HRS040344,Peritumoral,Normal
HRS040345,Patient Solid Tissue,Tumor
HRS040346,Peritumoral,Normal
HRS040347,Patient Solid Tissue,Tumor
HRS040348,Peritumoral,Normal
HRS040349,Patient Solid Tissue,Tumor
HRS040350,Peritumoral,Normal
HRS040351,Patient Solid Tissue,Tumor
HRS040352,Peritumoral,Normal
HRS040353,Patient Solid Tissue,Tumor
HRS040354,Peritumoral,Normal
HRS040355,Patient Solid Tissue,Tumor
HRS040356,Peritumoral,Normal
HRS040357,Patient Solid Tissue,Tumor
HRS040358,Peritumoral,Normal
HRS040359,Patient Solid Tissue,Tumor
HRS040360,Peritumoral,Normal
HRS040361,Patient Solid Tissue,Tumor
HRS040362,Peritumoral,Normal
HRS040363,Patient Solid Tissue,Tumor
HRS040364,Peritumoral,Normal
HRS040365,Patient Solid Tissue,Tumor
HRS040366,Peritumoral,Normal
HRS040367,Patient Solid Tissue,Tumor
HRS040368,Peritumoral,Normal
HRS040369,Patient Solid Tissue,Tumor
HRS040370,Peritumoral,Normal
HRS040371,Patient Solid Tissue,Tumor
HRS040372,Peritumoral,Normal
HRS040373,Patient Solid Tissue,Tumor
HRS040374,Peritumoral,Normal
HRS040375,Patient Solid Tissue,Tumor
HRS040376,Peritumoral,Normal
HRS040377,Patient Solid Tissue,Tumor
HRS040378,Peritumoral,Normal
HRS040379,Patient Solid Tissue,Tumor
HRS040380,Peritumoral,Normal
HRS040381,Patient Solid Tissue,Tumor
HRS040382,Peritumoral,Normal
HRS040383,Patient Solid Tissue,Tumor
HRS040384,Peritumoral,Normal
HRS040385,Patient Solid Tissue,Tumor
HRS040386,Peritumoral,Normal
HRS040387,Patient Solid Tissue,Tumor
HRS040388,Peritumoral,Normal
HRS040389,Patient Solid Tissue,Tumor
HRS040390,Peritumoral,Normal
HRS040391,Patient Solid Tissue,Tumor
HRS040392,Peritumoral,Normal
HRS040393,Patient Solid Tissue,Tumor
HRS040394,Peritumoral,Normal
HRS040395,Patient Solid Tissue,Tumor
HRS040396,Peritumoral,Normal
HRS040397,Patient Solid Tissue,Tumor
HRS040398,Peritumoral,Normal
HRS040399,Patient Solid Tissue,Tumor
HRS040400,Peritumoral,Normal
HRS040401,Patient Solid Tissue,Tumor
HRS040402,Peritumoral,Normal
HRS040403,Patient Solid Tissue,Tumor
HRS040404,Peritumoral,Normal
HRS040405,Patient Solid Tissue,Tumor
HRS040406,Peritumoral,Normal
HRS040407,Patient Solid Tissue,Tumor
HRS040408,Peritumoral,Normal
HRS040409,Patient Solid Tissue,Tumor
HRS040410,Peritumoral,Normal
HRS040411,Patient Solid Tissue,Tumor
HRS040412,Peritumoral,Normal
HRS040413,Patient Solid Tissue,Tumor
HRS040414,Peritumoral,Normal
HRS040415,Patient Solid Tissue,Tumor
HRS040416,Peritumoral,Normal
HRS040417,Patient Solid Tissue,Tumor
HRS040418,Peritumoral,Normal
HRS040419,Patient Solid Tissue,Tumor
HRS040420,Peritumoral,Normal
HRS040421,Patient Solid Tissue,Tumor
HRS040422,Peritumoral,Normal
HRS040423,Patient Solid Tissue,Tumor
HRS040424,Peritumoral,Normal
HRS040425,Patient Solid Tissue,Tumor
HRS040426,Peritumoral,Normal
HRS040427,Patient Solid Tissue,Tumor
HRS040428,Peritumoral,Normal
HRS040429,Patient Solid Tissue,Tumor
HRS040430,Peritumoral,Normal
HRS040431,Patient Solid Tissue,Tumor
HRS040432,Peritumoral,Normal
HRS040433,Patient Solid Tissue,Tumor
HRS040434,Peritumoral,Normal
HRS040435,Patient Solid Tissue,Tumor
HRS040436,Peritumoral,Normal
HRS040437,Patient Solid Tissue,Tumor
HRS040438,Peritumoral,Normal
HRS040439,Patient Solid Tissue,Tumor
HRS040440,Peritumoral,Normal
HRS040441,Patient Solid Tissue,Tumor
HRS040442,Peritumoral,Normal
HRS040443,Patient Solid Tissue,Tumor
HRS040444,Peritumoral,Normal
HRS040445,Patient Solid Tissue,Tumor
HRS040446,Peritumoral,Normal
HRS040447,Patient Solid Tissue,Tumor
HRS040448,Peritumoral,Normal
HRS040449,Patient Solid Tissue,Tumor
HRS040450,Peritumoral,Normal
HRS040451,Patient Solid Tissue,Tumor
HRS040452,Peritumoral,Normal
HRS040453,Patient Solid Tissue,Tumor
HRS040454,Peritumoral,Normal
HRS040455,Patient Solid Tissue,Tumor
HRS040456,Peritumoral,Normal
HRS040457,Patient Solid Tissue,Tumor
HRS040458,Peritumoral,Normal
HRS040459,Patient Solid Tissue,Tumor
HRS040460,Peritumoral,Normal
HRS040461,Patient Solid Tissue,Tumor
HRS040462,Peritumoral,Normal
HRS040463,Patient Solid Tissue,Tumor
HRS040464,Peritumoral,Normal
HRS040465,Patient Solid Tissue,Tumor
HRS040466,Peritumoral,Normal
HRS040467,Patient Solid Tissue,Tumor
HRS040468,Peritumoral,Normal
HRS040469,Patient Solid Tissue,Tumor
HRS040470,Peritumoral,Normal
HRS040471,Patient Solid Tissue,Tumor
HRS040472,Peritumoral,Normal
HRS040473,Patient Solid Tissue,Tumor
HRS040474,Peritumoral,Normal
HRS040475,Patient Solid Tissue,Tumor
HRS040476,Peritumoral,Normal
HRS040477,Patient Solid Tissue,Tumor
HRS040478,Peritumoral,Normal
HRS040479,Patient Solid Tissue,Tumor
HRS040480,Peritumoral,Normal
HRS040481,Patient Solid Tissue,Tumor
HRS040482,Peritumoral,Normal
HRS040483,Patient Solid Tissue,Tumor
HRS040484,Peritumoral,Normal
HRS040485,Patient Solid Tissue,Tumor
HRS040486,Peritumoral,Normal
HRS040487,Patient Solid Tissue,Tumor
HRS040488,Peritumoral,Normal
HRS040489,Patient Solid Tissue,Tumor
HRS040490,Peritumoral,Normal
HRS040491,Patient Solid Tissue,Tumor
HRS040492,Peritumoral,Normal
HRS040493,Patient Solid Tissue,Tumor
HRS040494,Peritumoral,Normal
HRS040495,Patient Solid Tissue,Tumor
HRS040496,Peritumoral,Normal
HRS040497,Patient Solid Tissue,Tumor
HRS040498,Peritumoral,Normal
HRS040499,Patient Solid Tissue,Tumor
HRS040500,Peritumoral,Normal
HRS040501,Patient Solid Tissue,Tumor
HRS040502,Peritumoral,Normal
HRS040503,Patient Solid Tissue,Tumor
HRS040504,Peritumoral,Normal
HRS040505,Patient Solid Tissue,Tumor
HRS040506,Peritumoral,Normal
HRS040507,Patient Solid Tissue,Tumor
HRS040508,Peritumoral,Normal
HRS040509,Patient Solid Tissue,Tumor
HRS040510,Peritumoral,Normal
HRS040511,Patient Solid Tissue,Tumor
HRS040512,Peritumoral,Normal
HRS040513,Patient Solid Tissue,Tumor
HRS040514,Peritumoral,Normal
HRS040515,Patient Solid Tissue,Tumor
HRS040516,Peritumoral,Normal
HRS040517,Patient Solid Tissue,Tumor
HRS040518,Peritumoral,Normal
HRS040519,Patient Solid Tissue,Tumor
HRS040520,Peritumoral,Normal
HRS040521,Patient Solid Tissue,Tumor
HRS040522,Peritumoral,Normal
HRS040523,Patient Solid Tissue,Tumor
HRS040524,Peritumoral,Normal
HRS040525,Patient Solid Tissue,Tumor
HRS040526,Peritumoral,Normal
HRS040527,Patient Solid Tissue,Tumor
HRS040528,Peritumoral,Normal
HRS040529,Patient Solid Tissue,Tumor
HRS040530,Peritumoral,Normal
HRS040531,Patient Solid Tissue,Tumor
HRS040532,Peritumoral,Normal
HRS040533,Patient Solid Tissue,Tumor
HRS040534,Peritumoral,Normal
HRS040535,Patient Solid Tissue,Tumor
HRS040536,Peritumoral,Normal
HRS040537,Patient Solid Tissue,Tumor
HRS040538,Peritumoral,Normal
HRS040539,Patient Solid Tissue,Tumor
HRS040540,Peritumoral,Normal
HRS040541,Patient Solid Tissue,Tumor
HRS040542,Peritumoral,Normal
HRS040543,Patient Solid Tissue,Tumor
HRS040544,Peritumoral,Normal
HRS040545,Patient Solid Tissue,Tumor
HRS040546,Peritumoral,Normal
HRS040547,Patient Solid Tissue,Tumor
HRS040548,Peritumoral,Normal
HRS040549,Patient Solid Tissue,Tumor
HRS040550,Peritumoral,Normal
HRS040551,Patient Solid Tissue,Tumor
HRS040552,Peritumoral,Normal
HRS040553,Patient Solid Tissue,Tumor
HRS040554,Peritumoral,Normal
HRS040555,Patient Solid Tissue,Tumor
HRS040556,Peritumoral,Normal
HRS040557,Patient Solid Tissue,Tumor
HRS040558,Peritumoral,Normal
HRS040559,Patient Solid Tissue,Tumor
HRS040560,Peritumoral,Normal
HRS040561,Patient Solid Tissue,Tumor
HRS040562,Peritumoral,Normal
HRS040563,Patient Solid Tissue,Tumor
HRS040564,Peritumoral,Normal
HRS040565,Patient Solid Tissue,Tumor
HRS040566,Peritumoral,Normal
HRS040567,Patient Solid Tissue,Tumor
HRS040568,Peritumoral,Normal
HRS040569,Patient Solid Tissue,Tumor
HRS040570,Peritumoral,Normal
HRS040571,Patient Solid Tissue,Tumor
HRS040572,Peritumoral,Normal
HRS040573,Patient Solid Tissue,Tumor
HRS040574,Peritumoral,Normal
HRS040575,Patient Solid Tissue,Tumor
HRS040576,Peritumoral,Normal
HRS040577,Patient Solid Tissue,Tumor
HRS040578,Peritumoral,Normal
HRS040579,Patient Solid Tissue,Tumor
HRS040580,Peritumoral,Normal
HRS040581,Patient Solid Tissue,Tumor
HRS040582,Peritumoral,Normal
HRS040583,Patient Solid Tissue,Tumor
HRS040584,Peritumoral,Normal
HRS040585,Patient Solid Tissue,Tumor
HRS040586,Peritumoral,Normal
HRS040587,Patient Solid Tissue,Tumor
HRS040588,Peritumoral,Normal
HRS040589,Patient Solid Tissue,Tumor
HRS040590,Peritumoral,Normal
HRS040591,Patient Solid Tissue,Tumor
HRS040592,Peritumoral,Normal
HRS040593,Patient Solid Tissue,Tumor
HRS040594,Peritumoral,Normal
HRS040595,Patient Solid Tissue,Tumor
HRS040596,Peritumoral,Normal
HRS040597,Patient Solid Tissue,Tumor
HRS040598,Peritumoral,Normal
HRS040599,Patient Solid Tissue,Tumor
HRS040600,Peritumoral,Normal
HRS040601,Patient Solid Tissue,Tumor
HRS040602,Peritumoral,Normal
HRS040603,Patient Solid Tissue,Tumor
HRS040604,Peritumoral,Normal
HRS040605,Patient Solid Tissue,Tumor
HRS040606,Peritumoral,Normal
HRS040607,Patient Solid Tissue,Tumor
HRS040608,Peritumoral,Normal
HRS040609,Patient Solid Tissue,Tumor
HRS040610,Peritumoral,Normal
HRS040611,Patient Solid Tissue,Tumor
HRS040612,Peritumoral,Normal
HRS040613,Patient Solid Tissue,Tumor
HRS040614,Peritumoral,Normal
HRS040615,Patient Solid Tissue,Tumor
HRS040616,Peritumoral,Normal
HRS040617,Patient Solid Tissue,Tumor
HRS040618,Peritumoral,Normal
HRS040619,Patient Solid Tissue,Tumor
HRS040620,Peritumoral,Normal
HRS040621,Patient Solid Tissue,Tumor
HRS040622,Peritumoral,Normal
HRS040623,Patient Solid Tissue,Tumor
HRS040624,Peritumoral,Normal
HRS040625,Patient Solid Tissue,Tumor
HRS040626,Peritumoral,Normal
HRS040627,Patient Solid Tissue,Tumor
HRS040628,Peritumoral,Normal
HRS040629,Patient Solid Tissue,Tumor
HRS040630,Peritumoral,Normal
HRS040631,Patient Solid Tissue,Tumor
HRS040632,Peritumoral,Normal
HRS040633,Patient Solid Tissue,Tumor
HRS040634,Peritumoral,Normal
HRS040635,Patient Solid Tissue,Tumor
HRS040636,Peritumoral,Normal
HRS040637,Patient Solid Tissue,Tumor
HRS040638,Peritumoral,Normal
HRS040639,Patient Solid Tissue,Tumor
HRS040640,Peritumoral,Normal
HRS040641,Patient Solid Tissue,Tumor
HRS040642,Peritumoral,Normal
HRS040643,Patient Solid Tissue,Tumor
HRS040644,Peritumoral,Normal
HRS040645,Patient Solid Tissue,Tumor
HRS040646,Peritumoral,Normal
HRS040647,Patient Solid Tissue,Tumor
HRS040648,Peritumoral,Normal
HRS040649,Patient Solid Tissue,Tumor
HRS040650,Peritumoral,Normal
HRS040651,Patient Solid Tissue,Tumor
HRS040652,Peritumoral,Normal
HRS040653,Patient Solid Tissue,Tumor
HRS040654,Peritumoral,Normal
HRS040655,Patient Solid Tissue,Tumor
HRS040656,Peritumoral,Normal
HRS040657,Patient Solid Tissue,Tumor
HRS040658,Peritumoral,Normal
HRS040659,Patient Solid Tissue,Tumor
HRS040660,Peritumoral,Normal
HRS040661,Patient Solid Tissue,Tumor
HRS040662,Peritumoral,Normal
HRS040663,Patient Solid Tissue,Tumor
HRS040664,Peritumoral,Normal
HRS040665,Patient Solid Tissue,Tumor
HRS040666,Peritumoral,Normal
HRS040667,Patient Solid Tissue,Tumor
HRS040668,Peritumoral,Normal
HRS040669,Patient Solid Tissue,Tumor
HRS040670,Peritumoral,Normal
HRS040671,Patient Solid Tissue,Tumor
HRS040672,Peritumoral,Normal
HRS040673,Patient Solid Tissue,Tumor
HRS040674,Peritumoral,Normal
HRS040675,Patient Solid Tissue,Tumor
HRS040676,Peritumoral,Normal
HRS040677,Patient Solid Tissue,Tumor
HRS040678,Peritumoral,Normal
HRS040679,Patient Solid Tissue,Tumor
HRS040680,Peritumoral,Normal
HRS040681,Patient Solid Tissue,Tumor
HRS040682,Peritumoral,Normal
HRS040683,Patient Solid Tissue,Tumor
HRS040684,Peritumoral,Normal
HRS040685,Patient Solid Tissue,Tumor
HRS040686,Peritumoral,Normal
HRS040687,Patient Solid Tissue,Tumor
HRS040688,Peritumoral,Normal
HRS040689,Patient Solid Tissue,Tumor
HRS040690,Peritumoral,Normal
HRS040691,Patient Solid Tissue,Tumor
HRS040692,Peritumoral,Normal
HRS040693,Patient Solid Tissue,Tumor
HRS040694,Peritumoral,Normal
HRS040695,Patient Solid Tissue,Tumor
HRS040696,Peritumoral,Normal
HRS040697,Patient Solid Tissue,Tumor
HRS040698,Peritumoral,Normal
HRS040699,Patient Solid Tissue,Tumor
HRS040700,Peritumoral,Normal
HRS040701,Patient Solid Tissue,Tumor
HRS040702,Peritumoral,Normal
HRS040703,Patient Solid Tissue,Tumor
HRS040704,Peritumoral,Normal
HRS040705,Patient Solid Tissue,Tumor
HRS040706,Peritumoral,Normal
HRS040707,Patient Solid Tissue,Tumor
HRS040708,Peritumoral,Normal
HRS040709,Patient Solid Tissue,Tumor
HRS040710,Peritumoral,Normal
HRS040711,Patient Solid Tissue,Tumor
HRS040712,Peritumoral,Normal
HRS040713,Patient Solid Tissue,Tumor
HRS040714,Peritumoral,Normal
HRS040715,Patient Solid Tissue,Tumor
HRS040716,Peritumoral,Normal
HRS040717,Patient Solid Tissue,Tumor
HRS040718,Peritumoral,Normal
HRS040719,Patient Solid Tissue,Tumor
HRS040720,Peritumoral,Normal
HRS040721,Patient Solid Tissue,Tumor
HRS040722,Peritumoral,Normal
HRS040723,Patient Solid Tissue,Tumor
HRS040724,Peritumoral,Normal
HRS040725,Patient Solid Tissue,Tumor
HRS040726,Peritumoral,Normal
HRS040727,Patient Solid Tissue,Tumor
HRS040728,Peritumoral,Normal
HRS040729,Patient Solid Tissue,Tumor
HRS040730,Peritumoral,Normal
HRS040731,Patient Solid Tissue,Tumor
HRS040732,Peritumoral,Normal
HRS040733,Patient Solid Tissue,Tumor
HRS040734,Peritumoral,Normal
HRS040735,Patient Solid Tissue,Tumor
HRS040736,Peritumoral,Normal
HRS040737,Patient Solid Tissue,Tumor
HRS040738,Peritumoral,Normal
HRS040739,Patient Solid Tissue,Tumor
HRS040740,Peritumoral,Normal
HRS040741,Patient Solid Tissue,Tumor
HRS040742,Peritumoral,Normal
HRS040743,Patient Solid Tissue,Tumor
HRS040744,Peritumoral,Normal
HRS040745,Patient Solid Tissue,Tumor
HRS040746,Peritumoral,Normal
HRS040747,Patient Solid Tissue,Tumor
HRS040748,Peritumoral,Normal
HRS040749,Patient Solid Tissue,Tumor
HRS040750,Peritumoral,Normal
HRS040751,Patient Solid Tissue,Tumor
HRS040752,Peritumoral,Normal
HRS040753,Patient Solid Tissue,Tumor
HRS040754,Peritumoral,Normal
HRS040755,Patient Solid Tissue,Tumor
HRS040756,Peritumoral,Normal
HRS040757,Patient Solid Tissue,Tumor
HRS040758,Peritumoral,Normal
HRS040759,Patient Solid Tissue,Tumor
HRS040760,Peritumoral,Normal
