sample_accession,specimen_types,tissue_type
HRS023610,Blood,Normal
HRS023611,Blood,Normal
HRS023612,Blood,Normal
HRS023613,Blood,Normal
HRS023614,Blood,Normal
HRS023615,Blood,Normal
HRS023616,Blood,Normal
HRS023617,Blood,Normal
HRS023618,Blood,Normal
HRS023619,Blood,Normal
HRS023620,Blood,Normal
HRS023621,Blood,Normal
HRS023622,Blood,Normal
HRS023623,Blood,Normal
HRS023624,Blood,Normal
HRS023625,Blood,Normal
HRS023626,Blood,Normal
HRS023627,Blood,Normal
HRS023628,Blood,Normal
HRS023629,Blood,Normal
HRS023630,Blood,Normal
HRS023631,Blood,Normal
HRS023632,Blood,Normal
HRS023633,Blood,Normal
HRS023634,Blood,Normal
HRS023635,Blood,Normal
HRS023636,Blood,Normal
HRS023637,Blood,Normal
HRS023638,Blood,Normal
HRS023639,Blood,Normal
HRS023640,Blood,Normal
HRS023641,Blood,Normal
HRS023642,Blood,Normal
HRS023643,Blood,Normal
HRS023644,Blood,Normal
HRS023645,Blood,Normal
HRS023646,Blood,Normal
HRS023647,Blood,Normal
HRS023648,Blood,Normal
HRS023649,Blood,Normal
HRS023650,Blood,Normal
HRS023651,Blood,Normal
HRS023652,Blood,Normal
HRS023653,Blood,Normal
HRS023654,Blood,Normal
HRS023655,Blood,Normal
HRS023656,Blood,Normal
HRS023657,Blood,Normal
HRS023658,Blood,Normal
HRS023659,Blood,Normal
HRS023660,Blood,Normal
HRS023661,Blood,Normal
HRS023662,Blood,Normal
HRS023663,Blood,Normal
HRS023664,Blood,Normal
HRS023665,Blood,Normal
HRS023666,Blood,Normal
HRS023667,Blood,Normal
HRS023668,Blood,Normal
HRS023669,Patient Solid Tissue,Tumor
HRS023670,Patient Solid Tissue,Tumor
HRS023671,Patient Solid Tissue,Tumor
HRS023672,Patient Solid Tissue,Tumor
HRS023673,Patient Solid Tissue,Tumor
HRS023674,Patient Solid Tissue,Tumor
HRS023675,Patient Solid Tissue,Tumor
HRS023676,Patient Solid Tissue,Tumor
HRS023677,Patient Solid Tissue,Tumor
HRS023678,Patient Solid Tissue,Tumor
HRS023679,Patient Solid Tissue,Tumor
HRS023680,Patient Solid Tissue,Tumor
HRS023681,Patient Solid Tissue,Tumor
HRS023682,Patient Solid Tissue,Tumor
HRS023683,Patient Solid Tissue,Tumor
HRS023684,Patient Solid Tissue,Tumor
HRS023685,Patient Solid Tissue,Tumor
HRS023686,Patient Solid Tissue,Tumor
HRS023687,Patient Solid Tissue,Tumor
HRS023688,Patient Solid Tissue,Tumor
HRS023689,Patient Solid Tissue,Tumor
HRS023690,Patient Solid Tissue,Tumor
HRS023691,Patient Solid Tissue,Tumor
HRS023692,Patient Solid Tissue,Tumor
HRS023693,Patient Solid Tissue,Tumor
HRS023694,Patient Solid Tissue,Tumor
HRS023695,Patient Solid Tissue,Tumor
HRS023696,Patient Solid Tissue,Tumor
HRS023697,Patient Solid Tissue,Tumor
HRS023698,Patient Solid Tissue,Tumor
HRS023699,Patient Solid Tissue,Tumor
HRS023700,Patient Solid Tissue,Tumor
HRS023701,Patient Solid Tissue,Tumor
HRS023702,Patient Solid Tissue,Tumor
HRS023703,Patient Solid Tissue,Tumor
HRS023704,Patient Solid Tissue,Tumor
HRS023705,Patient Solid Tissue,Tumor
HRS023706,Patient Solid Tissue,Tumor
HRS023707,Patient Solid Tissue,Tumor
HRS023708,Patient Solid Tissue,Tumor
HRS023709,Patient Solid Tissue,Tumor
HRS023710,Patient Solid Tissue,Tumor
HRS023711,Patient Solid Tissue,Tumor
HRS023712,Patient Solid Tissue,Tumor
HRS023713,Patient Solid Tissue,Tumor
HRS023714,Patient Solid Tissue,Tumor
HRS023715,Patient Solid Tissue,Tumor
HRS023716,Patient Solid Tissue,Tumor
HRS023717,Patient Solid Tissue,Tumor
HRS023718,Patient Solid Tissue,Tumor
HRS023719,Patient Solid Tissue,Tumor
HRS023720,Patient Solid Tissue,Tumor
HRS023721,Patient Solid Tissue,Tumor
HRS023722,Patient Solid Tissue,Tumor
HRS023723,Patient Solid Tissue,Tumor
HRS023724,Patient Solid Tissue,Tumor
HRS023725,Patient Solid Tissue,Tumor
HRS023726,Patient Solid Tissue,Tumor
HRS023727,Patient Solid Tissue,Tumor
HRS023728,Patient Solid Tissue,Tumor
HRS023729,Patient Solid Tissue,Tumor
HRS023730,Patient Solid Tissue,Tumor
HRS023731,Patient Solid Tissue,Tumor
HRS023732,Patient Solid Tissue,Tumor
HRS023733,Patient Solid Tissue,Tumor
HRS023734,Patient Solid Tissue,Tumor
HRS023735,Patient Solid Tissue,Tumor
HRS023736,Patient Solid Tissue,Tumor
HRS023737,Patient Solid Tissue,Tumor
HRS023738,Patient Solid Tissue,Tumor
