files,data_level
HRR024778_r2.fq.gz,1
HRR024779_f1.fq.gz,1
HRR024779_r2.fq.gz,1
HRR024780_f1.fq.gz,1
HRR024780_r2.fq.gz,1
HRR024781_f1.fq.gz,1
HRR024781_r2.fq.gz,1
HRR024782_f1.fq.gz,1
HRR024782_r2.fq.gz,1
HRR024783_f1.fq.gz,1
HRR024783_r2.fq.gz,1
HRR024784_f1.fq.gz,1
HRR024784_r2.fq.gz,1
HRR024785_f1.fq.gz,1
HRR024785_r2.fq.gz,1
HRR024786_f1.fq.gz,1
HRR024786_r2.fq.gz,1
HRR024787_f1.fq.gz,1
HRR024787_r2.fq.gz,1
HRR024788_f1.fq.gz,1
HRR024788_r2.fq.gz,1
HRR024789_f1.fq.gz,1
HRR024789_r2.fq.gz,1
HRR024790_f1.fq.gz,1
HRR024790_r2.fq.gz,1
HRR024791_f1.fq.gz,1
HRR024791_r2.fq.gz,1
HRR024792_f1.fq.gz,1
HRR024792_r2.fq.gz,1
HRR024793_f1.fq.gz,1
HRR024793_r2.fq.gz,1
HRR024794_f1.fq.gz,1
HRR024794_r2.fq.gz,1
HRR024795_f1.fq.gz,1
HRR024795_r2.fq.gz,1
HRR024796_f1.fq.gz,1
HRR024796_r2.fq.gz,1
HRR024797_f1.fq.gz,1
HRR024797_r2.fq.gz,1
HRR024798_f1.fq.gz,1
HRR024798_r2.fq.gz,1
HRR024799_f1.fq.gz,1
HRR024799_r2.fq.gz,1
HRR024800_f1.fq.gz,1
HRR024800_r2.fq.gz,1
HRR024801_f1.fq.gz,1
HRR024801_r2.fq.gz,1
HRR024802_f1.fq.gz,1
HRR024802_r2.fq.gz,1
HRR024803_f1.fq.gz,1
HRR024803_r2.fq.gz,1
HRR024804_f1.fq.gz,1
HRR024804_r2.fq.gz,1
HRR024805_f1.fq.gz,1
HRR024805_r2.fq.gz,1
HRR024806_f1.fq.gz,1
HRR024806_r2.fq.gz,1
HRR024807_f1.fq.gz,1
HRR024807_r2.fq.gz,1
HRR024808_f1.fq.gz,1
HRR024808_r2.fq.gz,1
HRR024809_f1.fq.gz,1
HRR024809_r2.fq.gz,1
HRR024810_f1.fq.gz,1
HRR024810_r2.fq.gz,1
HRR024811_f1.fq.gz,1
HRR024811_r2.fq.gz,1
HRR024812_f1.fq.gz,1
HRR024812_r2.fq.gz,1
HRR024813_f1.fq.gz,1
HRR024813_r2.fq.gz,1
HRR024814_f1.fq.gz,1
HRR024814_r2.fq.gz,1
HRR024815_f1.fq.gz,1
HRR024815_r2.fq.gz,1
HRR024816_f1.fq.gz,1
HRR024816_r2.fq.gz,1
HRR024817_f1.fq.gz,1
HRR024817_r2.fq.gz,1
HRR024818_f1.fq.gz,1
HRR024818_r2.fq.gz,1
HRR024819_f1.fq.gz,1
HRR024819_r2.fq.gz,1
HRR024820_f1.fq.gz,1
HRR024820_r2.fq.gz,1
HRR024821_f1.fq.gz,1
HRR024821_r2.fq.gz,1
HRR024822_f1.fq.gz,1
HRR024822_r2.fq.gz,1
HRR024823_f1.fq.gz,1
HRR024823_r2.fq.gz,1
HRR024824_f1.fq.gz,1
HRR024824_r2.fq.gz,1
HRR024825_f1.fq.gz,1
HRR024825_r2.fq.gz,1
HRR024826_f1.fq.gz,1
HRR024826_r2.fq.gz,1
HRR024827_f1.fq.gz,1
HRR024827_r2.fq.gz,1
HRR024828_f1.fq.gz,1
HRR024828_r2.fq.gz,1
HRR024829_f1.fq.gz,1
HRR024829_r2.fq.gz,1
HRR024830_f1.fq.gz,1
HRR024830_r2.fq.gz,1
HRR024831_f1.fq.gz,1
HRR024831_r2.fq.gz,1
HRR024832_f1.fq.gz,1
HRR024832_r2.fq.gz,1
HRR024833_f1.fq.gz,1
HRR024833_r2.fq.gz,1
HRR024834_f1.fq.gz,1
HRR024834_r2.fq.gz,1
HRR024835_f1.fq.gz,1
HRR024835_r2.fq.gz,1
HRR024836_f1.fq.gz,1
HRR024836_r2.fq.gz,1
HRR024837_f1.fq.gz,1
HRR024837_r2.fq.gz,1
HRR024838_f1.fq.gz,1
HRR024838_r2.fq.gz,1
HRR024839_f1.fq.gz,1
HRR024839_r2.fq.gz,1
HRR024840_f1.fq.gz,1
HRR024840_r2.fq.gz,1
HRR024841_f1.fq.gz,1
HRR024841_r2.fq.gz,1
HRR024842_f1.fq.gz,1
HRR024842_r2.fq.gz,1
HRR024843_f1.fq.gz,1
HRR024843_r2.fq.gz,1
HRR024844_f1.fq.gz,1
HRR024844_r2.fq.gz,1
HRR024845_f1.fq.gz,1
HRR024845_r2.fq.gz,1
HRR024846_f1.fq.gz,1
HRR024846_r2.fq.gz,1
HRR024847_f1.fq.gz,1
HRR024847_r2.fq.gz,1
HRR024848_f1.fq.gz,1
HRR024848_r2.fq.gz,1
HRR024849_f1.fq.gz,1
HRR024849_r2.fq.gz,1
HRR024850_f1.fq.gz,1
HRR024850_r2.fq.gz,1
HRR024851_f1.fq.gz,1
HRR024851_r2.fq.gz,1
HRR024852_f1.fq.gz,1
HRR024852_r2.fq.gz,1
HRR024853_f1.fq.gz,1
HRR024853_r2.fq.gz,1
HRR024854_f1.fq.gz,1
HRR024854_r2.fq.gz,1
HRR024855_f1.fq.gz,1
HRR024855_r2.fq.gz,1
HRR024856_f1.fq.gz,1
HRR024856_r2.fq.gz,1
HRR024857_f1.fq.gz,1
HRR024857_r2.fq.gz,1
HRR024858_f1.fq.gz,1
HRR024858_r2.fq.gz,1
HRR024859_f1.fq.gz,1
HRR024859_r2.fq.gz,1
HRR024860_f1.fq.gz,1
HRR024860_r2.fq.gz,1
HRR024861_f1.fq.gz,1
HRR024861_r2.fq.gz,1
HRR024862_f1.fq.gz,1
HRR024862_r2.fq.gz,1
HRR024863_f1.fq.gz,1
HRR024863_r2.fq.gz,1
HRR024864_f1.fq.gz,1
