sample_accession,individual_accession
HRS023648,HRI023648
HRS023649,HRI023649
HRS023650,HRI023650
HRS023651,HRI023651
HRS023652,HRI023652
HRS023653,HRI023653
HRS023654,HRI023654
HRS023655,HRI023655
HRS023656,HRI023656
HRS023657,HRI023657
HRS023658,HRI023658
HRS023659,HRI023659
HRS023660,HRI023660
HRS023661,HRI023661
HRS023662,HRI023662
HRS023663,HRI023663
HRS023664,HRI023664
HRS023665,HRI023665
HRS023666,HRI023666
HRS023667,HRI023667
HRS023668,HRI023668
HRS023669,HRI023669
HRS023670,HRI023670
HRS023671,HRI023671
HRS023672,HRI023672
HRS023673,HRI023673
HRS023674,HRI023674
HRS023675,HRI023675
HRS023676,HRI023676
HRS023677,HRI023677
HRS023678,HRI023678
HRS023679,HRI023679
HRS023680,HRI023680
HRS023681,HRI023681
HRS023682,HRI023682
HRS023683,HRI023683
HRS023684,HRI023684
HRS023685,HRI023685
HRS023686,HRI023686
HRS023687,HRI023687
HRS023688,HRI023688
HRS023689,HRI023689
HRS023690,HRI023690
HRS023691,HRI023691
HRS023692,HRI023692
HRS023693,HRI023693
HRS023694,HRI023694
HRS023695,HRI023695
HRS023696,HRI023696
HRS023697,HRI023697
HRS023698,HRI023698
HRS023699,HRI023699
HRS023700,HRI023700
HRS023701,HRI023701
HRS023702,HRI023702
HRS023703,HRI023703
HRS023704,HRI023704
HRS023705,HRI023705
HRS023706,HRI023706
HRS023707,HRI023707
HRS023708,HRI023708
HRS023709,HRI023709
HRS023710,HRI023710
HRS023711,HRI023711
HRS023712,HRI023712
HRS023713,HRI023713
HRS023714,HRI023714
HRS023715,HRI023715
HRS023716,HRI023716
HRS023717,HRI023717
HRS023718,HRI023718
HRS023719,HRI023719
HRS023720,HRI023720
HRS023721,HRI023721
HRS023722,HRI023722
HRS023723,HRI023723
HRS023724,HRI023724
HRS023725,HRI023725
HRS023726,HRI023726
HRS023727,HRI023727
HRS023728,HRI023728
HRS023729,HRI023729
HRS023730,HRI023730
HRS023731,HRI023731
HRS023732,HRI023732
HRS023733,HRI023733
HRS023734,HRI023734
HRS023735,HRI023735
HRS023736,HRI023736
HRS023737,HRI023737
HRS023738,HRI023738
HRS023739,HRI023739
HRS023740,HRI023740
HRS023741,HRI023741
HRS023742,HRI023742
HRS023743,HRI023743
HRS023744,HRI023744
HRS023745,HRI023745
HRS023746,HRI023746
HRS023747,HRI023747
HRS023748,HRI023748
HRS023749,HRI023749
HRS023750,HRI023750
HRS023751,HRI023751
HRS023752,HRI023752
HRS023753,HRI023753
HRS023754,HRI023754
HRS023755,HRI023755
HRS023756,HRI023756
HRS023757,HRI023757
HRS023758,HRI023758
HRS023759,HRI023759
HRS023760,HRI023760
HRS023761,HRI023761
HRS023762,HRI023762
HRS023763,HRI023763
HRS023764,HRI023764
HRS023765,HRI023765
HRS023766,HRI023766
HRS023767,HRI023767
HRS023768,HRI023768
HRS023769,HRI023769
HRS023770,HRI023770
HRS023771,HRI023771
HRS023772,HRI023772
HRS023773,HRI023773
HRS023774,HRI023774
HRS023775,HRI023775
HRS023776,HRI023776
HRS023777,HRI023777
HRS023778,HRI023778
HRS023779,HRI023779
HRS023780,HRI023780
HRS023781,HRI023781
HRS023782,HRI023782
HRS023783,HRI023783
HRS023784,HRI023784
HRS023785,HRI023785
HRS023786,HRI023786
HRS023787,HRI023787
HRS023788,HRI023788
HRS023789,HRI023789
HRS023790,HRI023790
HRS023791,HRI023791
HRS023792,HRI023792
HRS023793,HRI023793
HRS023794,HRI023794
HRS023795,HRI023795
HRS023796,HRI023796
HRS023797,HRI023797
HRS023798,HRI023798
HRS023799,HRI023799
HRS023800,HRI023800
HRS023801,HRI023801
HRS023802,HRI023802
HRS023803,HRI023803
HRS023804,HRI023804
HRS023805,HRI023805
HRS023806,HRI023806
HRS023807,HRI023807
HRS023808,HRI023808
HRS023809,HRI023809
HRS023810,HRI023810
HRS023811,HRI023811
HRS023812,HRI023812
HRS023813,HRI023813
HRS023814,HRI023814
HRS023815,HRI023815
HRS023816,HRI023816
HRS023817,HRI023817
HRS023818,HRI023818
HRS023819,HRI023819
HRS023820,HRI023820
HRS023821,HRI023821
HRS023822,HRI023822
HRS023823,HRI023823
HRS023824,HRI023824
HRS023825,HRI023825
HRS023826,HRI023826
HRS023827,HRI023827
HRS023828,HRI023828
HRS023829,HRI023829
HRS023830,HRI023830
HRS023831,HRI023831
HRS023832,HRI023832
HRS023833,HRI023833
HRS023834,HRI023834
HRS023835,HRI023835
HRS023836,HRI023836
