tool_id,function
T01,质控修剪
T02,质量评估
T03,比对参考基因组
T04,BAM处理与排序
T05,变异检测与校正
T06,VCF过滤与标准化
T07,变异功能注释
T08,RNA接头修剪
T09,RNA剪接比对
T10,基因定量
T11,基因水平计数
T12,报告汇总
T13,差异表达与GO富集
T14,差异表达与通路富集
T15,驱动基因性别分层
T16,生存关联分析
T17,免疫浸润估计
T18,FASTQ转uBAM
T19,无监督聚类
T20,生存曲线与Cox回归
T21,TMB与生存分析
T22,突变景观可视化
T23,加权共表达网络
