type,start,end,properties_json
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::out::bam,format:bam,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::out::list,format:list,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::fastq_1,format:fq.gz,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::fastq_2,format:fq.gz,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::gtf_file,format:gtf,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::rrna_star_index,format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::rsem_index,format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::star_genome_index,format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::aligned_bam,format:bai,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::count_matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::count_matrix,format:txt,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::expression_matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::quality_control,format:html,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::quality_control,format:zip,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::in::counts,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::assignments,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::stability,format:tsv,{}
ALLOW_FORMAT,io_slot:rsem::input::genome_annotation,format:bam,{}
ALLOW_FORMAT,io_slot:rsem::input::genome_annotation,format:index,{}
ALLOW_FORMAT,io_slot:rsem::input::transcriptome_bam,format:bam,{}
ALLOW_FORMAT,io_slot:rsem::input::transcriptome_bam,format:index,{}
ALLOW_FORMAT,io_slot:rsem::output::expression_abundance_matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:samtools::input::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:samtools::input::aligned_bam,format:sam,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,format:bai,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,format:bam,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,format:txt,{}
ALLOW_FORMAT,io_slot:snpeff::input::filtered_vcf,format:database,{}
ALLOW_FORMAT,io_slot:snpeff::input::filtered_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:snpeff::input::genome_annotation,format:database,{}
ALLOW_FORMAT,io_slot:snpeff::input::genome_annotation,format:vcf,{}
ALLOW_FORMAT,io_slot:snpeff::output::annotated_vcf,format:html/txt,{}
ALLOW_FORMAT,io_slot:snpeff::output::annotated_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:star::input::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::input::clean_fastq_read,format:index,{}
ALLOW_FORMAT,io_slot:star::input::genome_annotation,format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::input::genome_annotation,format:index,{}
ALLOW_FORMAT,io_slot:star::output::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:star::output::clean_fastq_read,format:bam,{}
ALLOW_FORMAT,io_slot:star::output::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::output::transcriptome_bam,format:bam,{}
ALLOW_FORMAT,io_slot:star::output::transcriptome_bam,format:fq.gz,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::maf,format:maf,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::statistics,format:txt,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::maf,format:maf,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::statistics,format:json,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::statistics,format:tsv,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::out::tmb,format:tsv,{}
ALLOW_FORMAT,io_slot:trim_galore::input::raw_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:trim_galore::output::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:trim_galore::output::clean_fastq_read,format:txt/html,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::in::maf,format:maf,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::maf,format:maf,{}
ALLOW_FORMAT,io_slot:wes_somatic_maf_landscape::out::statistics,format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:wgcna::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:wgcna::in::counts,format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:wgcna::out::archives,format:gz,{}
ALLOW_FORMAT,io_slot:wgcna::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:wgcna::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:wgcna::out::hub_genes,format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::out::modules,format:tsv,{}
ALLOW_FORMAT,io_slot:wgcna::out::qc,format:tsv,{}
HAS_FUNCTION,tool_id:bcftools,function:VCF过滤与标准化,{}
HAS_FUNCTION,tool_id:bwa,function:比对参考基因组,{}
HAS_FUNCTION,tool_id:diff_expr_go,function:差异表达与 GO 富集分析,{}
HAS_FUNCTION,tool_id:diff_expr_go,function:差异表达与GO富集,{}
HAS_FUNCTION,tool_id:diff_expr_kegg,function:差异表达与 Reactome 通路富集分析流程,{}
HAS_FUNCTION,tool_id:diff_expr_kegg,function:差异表达与通路富集,{}
HAS_FUNCTION,tool_id:driver_gene_gender_analysis,function:驱动基因性别分层,{}
HAS_FUNCTION,tool_id:driver_gene_gender_analysis,function:驱动基因突变频率性别分层分析,{}
HAS_FUNCTION,tool_id:fastp,function:质控修剪,{}
HAS_FUNCTION,tool_id:fastqc,function:质量评估,{}
HAS_FUNCTION,tool_id:featurecounts,function:基因水平计数,{}
HAS_FUNCTION,tool_id:gatk,function:变异检测与校正,{}
HAS_FUNCTION,tool_id:her2_pfs_survival,function:HER2 表达与无进展生存期分析,{}
HAS_FUNCTION,tool_id:her2_pfs_survival,function:生存关联分析,{}
HAS_FUNCTION,tool_id:immune_infiltration_iobr,function:免疫浸润估计,{}
HAS_FUNCTION,tool_id:immune_infiltration_iobr,function:免疫浸润分析 (IOBR CIBERSORT),{}
HAS_FUNCTION,tool_id:multiqc,function:报告汇总,{}
HAS_FUNCTION,tool_id:paired_fastq_to_unmapped_bam,function:FASTQ转uBAM,{}
HAS_FUNCTION,tool_id:paired_fastq_to_unmapped_bam,function:双端 FASTQ 转未比对 BAM,{}
HAS_FUNCTION,tool_id:rnaseq_singletask,function:RNA-seq FASTQ 完整上游分析,{}
HAS_FUNCTION,tool_id:rnaseq_unsupervised_cluster,function:RNA-seq 无监督聚类分析流程,{}
HAS_FUNCTION,tool_id:rnaseq_unsupervised_cluster,function:无监督聚类,{}
HAS_FUNCTION,tool_id:rsem,function:基因定量,{}
HAS_FUNCTION,tool_id:samtools,function:BAM处理与排序,{}
HAS_FUNCTION,tool_id:snpeff,function:变异功能注释,{}
HAS_FUNCTION,tool_id:star,function:RNA剪接比对,{}
HAS_FUNCTION,tool_id:survival_analysis,function:生存分析流程,{}
HAS_FUNCTION,tool_id:survival_analysis,function:生存曲线与Cox回归,{}
HAS_FUNCTION,tool_id:tmb_survival_analysis,function:TMB与生存分析,{}
HAS_FUNCTION,tool_id:tmb_survival_analysis,function:肿瘤突变负荷生存分析流程,{}
HAS_FUNCTION,tool_id:trim_galore,function:RNA接头修剪,{}
HAS_FUNCTION,tool_id:wes_somatic_maf_landscape,function:WES 体细胞突变 MAF 景观分析流程,{}
HAS_FUNCTION,tool_id:wes_somatic_maf_landscape,function:突变景观可视化,{}
HAS_FUNCTION,tool_id:wgcna,function:WGCNA 加权基因共表达网络分析,{}
HAS_FUNCTION,tool_id:wgcna,function:加权共表达网络,{}
HAS_INPUT_SLOT,tool_id:bcftools,io_slot:bcftools::input::unfiltered_vcf,{}
HAS_INPUT_SLOT,tool_id:bwa,io_slot:bwa::input::clean_fastq_read,{}
HAS_INPUT_SLOT,tool_id:bwa,io_slot:bwa::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:diff_expr_go,io_slot:diff_expr_go::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:diff_expr_kegg,io_slot:diff_expr_kegg::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:fastp,io_slot:fastp::input::raw_fastq_read,{}
HAS_INPUT_SLOT,tool_id:fastqc,io_slot:fastqc::input::clean_fastq_read,{}
HAS_INPUT_SLOT,tool_id:fastqc,io_slot:fastqc::input::raw_fastq_read,{}
HAS_INPUT_SLOT,tool_id:featurecounts,io_slot:featurecounts::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:featurecounts,io_slot:featurecounts::input::sorted_dedup_bam,{}
HAS_INPUT_SLOT,tool_id:gatk,io_slot:gatk::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:gatk,io_slot:gatk::input::sorted_dedup_bam,{}
HAS_INPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:multiqc,io_slot:multiqc::input::quality_control_report,{}
HAS_INPUT_SLOT,tool_id:paired_fastq_to_unmapped_bam,io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:paired_fastq_to_unmapped_bam,io_slot:paired_fastq_to_unmapped_bam::in::fastq_2,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::fastq_1,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::fastq_2,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::gtf_file,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::rrna_star_index,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::rsem_index,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::star_genome_index,{}
HAS_INPUT_SLOT,tool_id:rnaseq_unsupervised_cluster,io_slot:rnaseq_unsupervised_cluster::in::counts,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:rsem,io_slot:rsem::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:rsem,io_slot:rsem::input::transcriptome_bam,{}
HAS_INPUT_SLOT,tool_id:samtools,io_slot:samtools::input::aligned_bam,{}
HAS_INPUT_SLOT,tool_id:snpeff,io_slot:snpeff::input::filtered_vcf,{}
HAS_INPUT_SLOT,tool_id:snpeff,io_slot:snpeff::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:star,io_slot:star::input::clean_fastq_read,{}
HAS_INPUT_SLOT,tool_id:star,io_slot:star::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:trim_galore,io_slot:trim_galore::input::raw_fastq_read,{}
HAS_INPUT_SLOT,tool_id:wes_somatic_maf_landscape,io_slot:wes_somatic_maf_landscape::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:wgcna,io_slot:wgcna::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:wgcna,io_slot:wgcna::in::counts,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:wgcna,io_slot:wgcna::in::metainfo,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:bcftools,io_slot:bcftools::output::filtered_vcf,{}
HAS_OUTPUT_SLOT,tool_id:bwa,io_slot:bwa::output::aligned_bam,{}
HAS_OUTPUT_SLOT,tool_id:diff_expr_go,io_slot:diff_expr_go::out::differential,"{""order"":1}"
