child,parent
DNA_ALIGNMENT_BQSR_BAM,DNA_GENOMIC_ALIGNMENT_BAM
DNA_SOMATIC_SV_VCF,DNA_VARIANT_VCF_GENERAL
SCRNA_MATRIX_H5_ZIP,SCRNA_MATRIX_H5
SOMATIC_CNV_TSV,TABULAR_BIO_DATA
