modal,description
Clinical,临床数据模态。包含患者诊断、年龄、性别、病理信息、TNM分期、治疗方案、药物使用、随访、生存时间、结局事件及其他临床表型信息。
Meta,元数据模态。包含样本及实验相关的描述信息，如Sample ID、Patient ID、分组信息、批次、组织来源、测序平台、建库方式、物种、采集时间及其他实验设计信息。
bulk_RNA,Bulk RNA测序数据模态（含 TCR 组库等基于 RNA/cDNA 的测序）。包含RNA-seq产生的原始FASTQ、比对结果、基因表达矩阵、差异表达分析结果及富集分析结果等。
sc-RNA,单细胞RNA测序数据模态。包含单细胞RNA-seq原始测序数据、Barcode、UMI、表达矩阵、细胞注释、聚类结果及细胞通讯分析等。
WES,全外显子测序数据模态（含 WXS、靶向捕获等 DNA 捕获测序）。包含 WES/WXS/靶向捕获测序产生的原始FASTQ、比对BAM及变异检测结果。
WGS,全基因组测序数据模态。包含 WGS 产生的原始FASTQ、比对BAM及变异检测结果等全基因组层面数据。
