sample_accession,individual_accession
HRS040057,HRI035418
HRS040058,HRI035419
HRS040059,HRI035419
HRS040060,HRI035420
HRS040061,HRI035420
HRS040062,HRI035421
HRS040063,HRI035421
HRS040064,HRI035422
HRS040065,HRI035422
HRS040066,HRI035423
HRS040067,HRI035423
HRS040068,HRI035424
HRS040069,HRI035424
HRS040070,HRI035425
HRS040071,HRI035425
HRS040072,HRI035426
HRS040073,HRI035426
HRS040074,HRI035427
HRS040075,HRI035427
HRS040076,HRI035428
HRS040077,HRI035428
HRS040078,HRI035429
HRS040079,HRI035429
HRS040080,HRI035430
HRS040081,HRI035430
HRS040082,HRI035431
HRS040083,HRI035431
HRS040084,HRI035432
HRS040085,HRI035432
HRS040086,HRI035433
HRS040087,HRI035433
HRS040088,HRI035434
HRS040089,HRI035434
HRS040090,HRI035435
HRS040091,HRI035435
HRS040092,HRI035436
HRS040093,HRI035436
HRS040094,HRI035437
HRS040095,HRI035437
HRS040096,HRI035438
HRS040097,HRI035438
HRS040098,HRI035439
HRS040099,HRI035439
HRS040100,HRI035440
HRS040101,HRI035440
HRS040102,HRI035441
HRS040103,HRI035441
HRS040104,HRI035442
HRS040105,HRI035442
HRS040106,HRI035443
HRS040107,HRI035443
HRS040108,HRI035444
HRS040109,HRI035444
HRS040110,HRI035445
HRS040111,HRI035445
HRS040112,HRI035446
HRS040113,HRI035446
HRS040114,HRI035447
HRS040115,HRI035447
HRS040116,HRI035448
HRS040117,HRI035448
HRS040118,HRI035449
HRS040119,HRI035449
HRS040120,HRI035450
HRS040121,HRI035450
HRS040122,HRI035451
HRS040123,HRI035451
HRS040124,HRI035452
HRS040125,HRI035452
HRS040126,HRI035453
HRS040127,HRI035453
HRS040128,HRI035454
HRS040129,HRI035454
HRS040130,HRI035455
HRS040131,HRI035455
HRS040132,HRI035456
HRS040133,HRI035456
HRS040134,HRI035457
HRS040135,HRI035457
HRS040136,HRI035458
HRS040137,HRI035458
HRS040138,HRI035459
HRS040139,HRI035459
HRS040140,HRI035460
HRS040141,HRI035460
HRS040142,HRI035461
HRS040143,HRI035461
HRS040144,HRI035462
HRS040145,HRI035462
HRS040146,HRI035463
HRS040147,HRI035463
HRS040148,HRI035464
HRS040149,HRI035464
HRS040150,HRI035465
HRS040151,HRI035465
HRS040152,HRI035466
HRS040153,HRI035466
HRS040154,HRI035467
HRS040155,HRI035467
HRS040156,HRI035468
HRS040157,HRI035468
HRS040158,HRI035469
HRS040159,HRI035469
HRS040160,HRI035470
HRS040161,HRI035470
HRS040162,HRI035471
HRS040163,HRI035471
HRS040164,HRI035472
HRS040165,HRI035472
HRS040166,HRI035473
HRS040167,HRI035473
HRS040168,HRI035474
HRS040169,HRI035474
HRS040170,HRI035475
HRS040171,HRI035475
HRS040172,HRI035476
HRS040173,HRI035476
HRS040174,HRI035477
HRS040175,HRI035477
HRS040176,HRI035478
HRS040177,HRI035478
HRS040178,HRI035479
HRS040179,HRI035479
HRS040180,HRI035480
HRS040181,HRI035480
HRS040182,HRI035481
HRS040183,HRI035481
HRS040184,HRI035482
HRS040185,HRI035482
HRS040186,HRI035483
HRS040187,HRI035483
HRS040188,HRI035484
HRS040189,HRI035484
HRS040190,HRI035485
HRS040191,HRI035485
HRS040192,HRI035486
HRS040193,HRI035486
HRS040194,HRI035487
HRS040195,HRI035487
HRS040196,HRI035488
HRS040197,HRI035488
HRS040198,HRI035489
HRS040199,HRI035489
HRS040200,HRI035490
HRS040201,HRI035490
HRS040202,HRI035491
HRS040203,HRI035491
HRS040204,HRI035492
HRS040205,HRI035492
HRS040206,HRI035493
HRS040207,HRI035493
HRS040208,HRI035494
HRS040209,HRI035494
HRS040210,HRI035495
HRS040211,HRI035495
HRS040212,HRI035496
HRS040213,HRI035496
HRS040214,HRI035497
HRS040215,HRI035497
HRS040216,HRI035498
HRS040217,HRI035498
HRS040218,HRI035499
HRS040219,HRI035499
HRS040220,HRI035500
HRS040221,HRI035500
HRS040222,HRI035501
HRS040223,HRI035501
HRS040224,HRI035502
HRS040225,HRI035502
HRS040226,HRI035503
HRS040227,HRI035503
HRS040228,HRI035504
HRS040229,HRI035504
HRS040230,HRI035505
HRS040231,HRI035505
HRS040232,HRI035506
HRS040233,HRI035506
HRS040234,HRI035507
HRS040235,HRI035507
HRS040236,HRI035508
HRS040237,HRI035508
HRS040238,HRI035509
HRS040239,HRI035509
HRS040240,HRI035510
HRS040241,HRI035510
HRS040242,HRI035511
HRS040243,HRI035511
HRS040244,HRI035512
HRS040245,HRI035512
HRS040246,HRI035513
HRS040247,HRI035513
HRS040248,HRI035514
HRS040249,HRI035514
HRS040250,HRI035515
HRS040251,HRI035515
HRS040252,HRI035516
HRS040253,HRI035516
HRS040254,HRI035517
HRS040255,HRI035517
HRS040256,HRI035518
HRS040257,HRI035518
HRS040258,HRI035519
HRS040259,HRI035519
HRS040260,HRI035520
HRS040261,HRI035520
HRS040262,HRI035521
HRS040263,HRI035521
HRS040264,HRI035522
HRS040265,HRI035522
HRS040266,HRI035523
HRS040267,HRI035523
HRS040268,HRI035524
HRS040269,HRI035524
HRS040270,HRI035525
HRS040271,HRI035525
HRS040272,HRI035526
HRS040273,HRI035526
HRS040274,HRI035527
HRS040275,HRI035527
HRS040276,HRI035528
HRS040277,HRI035528
HRS040278,HRI035529
HRS040279,HRI035529
