files,format
HRR067453.bam::NOT_FOUND,UNMAPPEDBAM
HRR067454.bam::NOT_FOUND,UNMAPPEDBAM
HRR067455.bam::NOT_FOUND,UNMAPPEDBAM
HRR067456.bam::NOT_FOUND,UNMAPPEDBAM
HRR067457.bam::NOT_FOUND,UNMAPPEDBAM
HRR067458.bam::NOT_FOUND,UNMAPPEDBAM
HRR067459.bam::NOT_FOUND,UNMAPPEDBAM
HRR067460.bam::NOT_FOUND,UNMAPPEDBAM
HRR067461.bam::NOT_FOUND,UNMAPPEDBAM
HRR067462.bam::NOT_FOUND,UNMAPPEDBAM
HRR067463.bam::NOT_FOUND,UNMAPPEDBAM
HRR067464.bam::NOT_FOUND,UNMAPPEDBAM
HRR067465.bam::NOT_FOUND,UNMAPPEDBAM
HRR067466.bam::NOT_FOUND,UNMAPPEDBAM
HRR067467.bam::NOT_FOUND,UNMAPPEDBAM
HRR067468.bam::NOT_FOUND,UNMAPPEDBAM
HRR067469.bam::NOT_FOUND,UNMAPPEDBAM
HRR067470.bam::NOT_FOUND,UNMAPPEDBAM
HRR067471.bam::NOT_FOUND,UNMAPPEDBAM
HRR067472.bam::NOT_FOUND,UNMAPPEDBAM
HRR067473.bam::NOT_FOUND,UNMAPPEDBAM
HRR067474.bam::NOT_FOUND,UNMAPPEDBAM
HRR067475.bam::NOT_FOUND,UNMAPPEDBAM
HRR067476.bam::NOT_FOUND,UNMAPPEDBAM
HRR067477.bam::NOT_FOUND,UNMAPPEDBAM
HRR067478.bam::NOT_FOUND,UNMAPPEDBAM
HRR067479.bam::NOT_FOUND,UNMAPPEDBAM
HRR067480.bam::NOT_FOUND,UNMAPPEDBAM
HRR067481.bam::NOT_FOUND,UNMAPPEDBAM
HRR067482.bam::NOT_FOUND,UNMAPPEDBAM
HRR067483.bam::NOT_FOUND,UNMAPPEDBAM
HRR067484.bam::NOT_FOUND,UNMAPPEDBAM
HRR067485.bam::NOT_FOUND,UNMAPPEDBAM
HRR067486.bam::NOT_FOUND,UNMAPPEDBAM
HRR067487.bam::NOT_FOUND,UNMAPPEDBAM
HRR067488.bam::NOT_FOUND,UNMAPPEDBAM
HRR067489.bam::NOT_FOUND,UNMAPPEDBAM
HRR067490.bam::NOT_FOUND,UNMAPPEDBAM
HRR067491.bam::NOT_FOUND,UNMAPPEDBAM
HRR067492.bam::NOT_FOUND,UNMAPPEDBAM
HRR067493.bam::NOT_FOUND,UNMAPPEDBAM
HRR067494.bam::NOT_FOUND,UNMAPPEDBAM
HRR067495.bam::NOT_FOUND,UNMAPPEDBAM
HRR067496.bam::NOT_FOUND,UNMAPPEDBAM
HRR067497.bam::NOT_FOUND,UNMAPPEDBAM
HRR067498.bam::NOT_FOUND,UNMAPPEDBAM
HRR067499.bam::NOT_FOUND,UNMAPPEDBAM
HRR067500.bam::NOT_FOUND,UNMAPPEDBAM
HRR067501.bam::NOT_FOUND,UNMAPPEDBAM
HRR067502.bam::NOT_FOUND,UNMAPPEDBAM
HRR067503.bam::NOT_FOUND,UNMAPPEDBAM
HRR067504.bam::NOT_FOUND,UNMAPPEDBAM
HRR067505.bam::NOT_FOUND,UNMAPPEDBAM
HRR067506.bam::NOT_FOUND,UNMAPPEDBAM
HRR067507.bam::NOT_FOUND,UNMAPPEDBAM
HRR067508.bam::NOT_FOUND,UNMAPPEDBAM
HRR067509.bam::NOT_FOUND,UNMAPPEDBAM
HRR067510.bam::NOT_FOUND,UNMAPPEDBAM
HRR067511.bam::NOT_FOUND,UNMAPPEDBAM
HRR067512.bam::NOT_FOUND,UNMAPPEDBAM
HRR067513.bam::NOT_FOUND,UNMAPPEDBAM
HRR067514.bam::NOT_FOUND,UNMAPPEDBAM
HRR067515.bam::NOT_FOUND,UNMAPPEDBAM
HRR067516.bam::NOT_FOUND,UNMAPPEDBAM
HRR067517.bam::NOT_FOUND,UNMAPPEDBAM
HRR067518.bam::NOT_FOUND,UNMAPPEDBAM
HRR067519.bam::NOT_FOUND,UNMAPPEDBAM
HRR067520.bam::NOT_FOUND,UNMAPPEDBAM
HRR067521.bam::NOT_FOUND,UNMAPPEDBAM
HRR067522.bam::NOT_FOUND,UNMAPPEDBAM
HRR067523.bam::NOT_FOUND,UNMAPPEDBAM
HRR067524.bam::NOT_FOUND,UNMAPPEDBAM
HRR067525.bam::NOT_FOUND,UNMAPPEDBAM
HRR067526.bam::NOT_FOUND,UNMAPPEDBAM
HRR067527.bam::NOT_FOUND,UNMAPPEDBAM
HRR067528.bam::NOT_FOUND,UNMAPPEDBAM
HRR067529.bam::NOT_FOUND,UNMAPPEDBAM
HRR067530.bam::NOT_FOUND,UNMAPPEDBAM
HRR067531.bam::NOT_FOUND,UNMAPPEDBAM
HRR067532.bam::NOT_FOUND,UNMAPPEDBAM
HRR067533.bam::NOT_FOUND,UNMAPPEDBAM
HRR067534.bam::NOT_FOUND,UNMAPPEDBAM
HRR067535.bam::NOT_FOUND,UNMAPPEDBAM
HRR067536.bam::NOT_FOUND,UNMAPPEDBAM
HRR067537.bam::NOT_FOUND,UNMAPPEDBAM
HRR067538.bam::NOT_FOUND,UNMAPPEDBAM
HRR067539.bam::NOT_FOUND,UNMAPPEDBAM
HRR067540.bam::NOT_FOUND,UNMAPPEDBAM
HRR067541.bam::NOT_FOUND,UNMAPPEDBAM
HRR067542.bam::NOT_FOUND,UNMAPPEDBAM
HRR067543.bam::NOT_FOUND,UNMAPPEDBAM
HRR067544.bam::NOT_FOUND,UNMAPPEDBAM
HRR067545.bam::NOT_FOUND,UNMAPPEDBAM
HRR067546.bam::NOT_FOUND,UNMAPPEDBAM
HRR067547.bam::NOT_FOUND,UNMAPPEDBAM
HRR067548.bam::NOT_FOUND,UNMAPPEDBAM
HRR067549.bam::NOT_FOUND,UNMAPPEDBAM
HRR067550.bam::NOT_FOUND,UNMAPPEDBAM
HRR067551.bam::NOT_FOUND,UNMAPPEDBAM
HRR067552.bam::NOT_FOUND,UNMAPPEDBAM
HRR067553.bam::NOT_FOUND,UNMAPPEDBAM
HRR067554.bam::NOT_FOUND,UNMAPPEDBAM
HRR067555.bam::NOT_FOUND,UNMAPPEDBAM
HRR067556.bam::NOT_FOUND,UNMAPPEDBAM
HRR067557.bam::NOT_FOUND,UNMAPPEDBAM
HRR067558.bam::NOT_FOUND,UNMAPPEDBAM
HRR067559.bam::NOT_FOUND,UNMAPPEDBAM
HRR067560.bam::NOT_FOUND,UNMAPPEDBAM
HRR067561.bam::NOT_FOUND,UNMAPPEDBAM
HRR067562.bam::NOT_FOUND,UNMAPPEDBAM
HRR067563.bam::NOT_FOUND,UNMAPPEDBAM
HRR067564.bam::NOT_FOUND,UNMAPPEDBAM
HRR067565.bam::NOT_FOUND,UNMAPPEDBAM
HRR067566.bam::NOT_FOUND,UNMAPPEDBAM
HRR067567.bam::NOT_FOUND,UNMAPPEDBAM
HRR067568.bam::NOT_FOUND,UNMAPPEDBAM
HRR067569.bam::NOT_FOUND,UNMAPPEDBAM
HRR067570.bam::NOT_FOUND,UNMAPPEDBAM
HRR067571.bam::NOT_FOUND,UNMAPPEDBAM
HRR067572.bam::NOT_FOUND,UNMAPPEDBAM
HRR067573.bam::NOT_FOUND,UNMAPPEDBAM
HRR067574.bam::NOT_FOUND,UNMAPPEDBAM
HRR067575.bam::NOT_FOUND,UNMAPPEDBAM
HRR067576.bam::NOT_FOUND,UNMAPPEDBAM
HRR067577.bam::NOT_FOUND,UNMAPPEDBAM
HRR067578.bam::NOT_FOUND,UNMAPPEDBAM
HRR067579.bam::NOT_FOUND,UNMAPPEDBAM
HRR067580.bam::NOT_FOUND,UNMAPPEDBAM
HRR067581.bam::NOT_FOUND,UNMAPPEDBAM
HRR067582.bam::NOT_FOUND,UNMAPPEDBAM
HRR067583.bam::NOT_FOUND,UNMAPPEDBAM
HRR067584.bam::NOT_FOUND,UNMAPPEDBAM
HRR067585.bam::NOT_FOUND,UNMAPPEDBAM
HRR067586.bam::NOT_FOUND,UNMAPPEDBAM
HRR067587.bam::NOT_FOUND,UNMAPPEDBAM
HRR067588.bam::NOT_FOUND,UNMAPPEDBAM
HRR067589.bam::NOT_FOUND,UNMAPPEDBAM
HRR067590.bam::NOT_FOUND,UNMAPPEDBAM
HRR067591.bam::NOT_FOUND,UNMAPPEDBAM
HRR067592.bam::NOT_FOUND,UNMAPPEDBAM
HRR067593.bam::NOT_FOUND,UNMAPPEDBAM
HRR067594.bam::NOT_FOUND,UNMAPPEDBAM
HRR067595.bam::NOT_FOUND,UNMAPPEDBAM
HRR067596.bam::NOT_FOUND,UNMAPPEDBAM
HRR067597.bam::NOT_FOUND,UNMAPPEDBAM
HRR067598.bam::NOT_FOUND,UNMAPPEDBAM
HRR067599.bam::NOT_FOUND,UNMAPPEDBAM
HRR067600.bam::NOT_FOUND,UNMAPPEDBAM
HRR067601.bam::NOT_FOUND,UNMAPPEDBAM
HRR067602.bam::NOT_FOUND,UNMAPPEDBAM
HRR067603.bam::NOT_FOUND,UNMAPPEDBAM
HRR067604.bam::NOT_FOUND,UNMAPPEDBAM
HRR067605.bam::NOT_FOUND,UNMAPPEDBAM
HRR067606.bam::NOT_FOUND,UNMAPPEDBAM
HRR067607.bam::NOT_FOUND,UNMAPPEDBAM
HRR067608.bam::NOT_FOUND,UNMAPPEDBAM
HRR067609.bam::NOT_FOUND,UNMAPPEDBAM
HRR067610.bam::NOT_FOUND,UNMAPPEDBAM
HRR067611.bam::NOT_FOUND,UNMAPPEDBAM
HRR067612.bam::NOT_FOUND,UNMAPPEDBAM
HRR067613.bam::NOT_FOUND,UNMAPPEDBAM
HRR067614.bam::NOT_FOUND,UNMAPPEDBAM
HRR067615.bam::NOT_FOUND,UNMAPPEDBAM
HRR067616.bam::NOT_FOUND,UNMAPPEDBAM
HRR067617.bam::NOT_FOUND,UNMAPPEDBAM
HRR067618.bam::NOT_FOUND,UNMAPPEDBAM
HRR067619.bam::NOT_FOUND,UNMAPPEDBAM
HRR067620.bam::NOT_FOUND,UNMAPPEDBAM
HRR067621.bam::NOT_FOUND,UNMAPPEDBAM
HRR067622.bam::NOT_FOUND,UNMAPPEDBAM
HRR067623.bam::NOT_FOUND,UNMAPPEDBAM
HRR067624.bam::NOT_FOUND,UNMAPPEDBAM
HRR067625.bam::NOT_FOUND,UNMAPPEDBAM
HRR067626.bam::NOT_FOUND,UNMAPPEDBAM
HRR067627.bam::NOT_FOUND,UNMAPPEDBAM
HRR067628.bam::NOT_FOUND,UNMAPPEDBAM
HRR067629.bam::NOT_FOUND,UNMAPPEDBAM
HRR067630.bam::NOT_FOUND,UNMAPPEDBAM
HRR067631.bam::NOT_FOUND,UNMAPPEDBAM
HRR067632.bam::NOT_FOUND,UNMAPPEDBAM
HRR067633.bam::NOT_FOUND,UNMAPPEDBAM
HRR067634.bam::NOT_FOUND,UNMAPPEDBAM
HRR067635.bam::NOT_FOUND,UNMAPPEDBAM
HRR067636.bam::NOT_FOUND,UNMAPPEDBAM
HRR067637.bam::NOT_FOUND,UNMAPPEDBAM
HRR067638.bam::NOT_FOUND,UNMAPPEDBAM
HRR067639.bam::NOT_FOUND,UNMAPPEDBAM
HRR067640.bam::NOT_FOUND,UNMAPPEDBAM
HRR067641.bam::NOT_FOUND,UNMAPPEDBAM
HRR067642.bam::NOT_FOUND,UNMAPPEDBAM
HRR067643.bam::NOT_FOUND,UNMAPPEDBAM
HRR067644.bam::NOT_FOUND,UNMAPPEDBAM
HRR067645.bam::NOT_FOUND,UNMAPPEDBAM
HRR067646.bam::NOT_FOUND,UNMAPPEDBAM
