files,modal
HRR068001.bam::NOT_FOUND,WES
HRR068002.bam::NOT_FOUND,WES
HRR068003.bam::NOT_FOUND,WES
HRR068004.bam::NOT_FOUND,WES
HRR068005.bam::NOT_FOUND,WES
HRR068006.bam::NOT_FOUND,WES
HRR068007.bam::NOT_FOUND,WES
HRR068008.bam::NOT_FOUND,WES
HRR068009.bam::NOT_FOUND,WES
HRR068010.bam::NOT_FOUND,WES
HRR068011.bam::NOT_FOUND,WES
HRR068012.bam::NOT_FOUND,WES
HRR068013.bam::NOT_FOUND,WES
HRR068014.bam::NOT_FOUND,WES
HRR068015.bam::NOT_FOUND,WES
HRR068016.bam::NOT_FOUND,WES
HRR068017.bam::NOT_FOUND,WES
HRR068018.bam::NOT_FOUND,WES
HRR068019.bam::NOT_FOUND,WES
HRR068020.bam::NOT_FOUND,WES
HRR068021.bam::NOT_FOUND,WES
HRR068022.bam::NOT_FOUND,WES
HRR068023.bam::NOT_FOUND,WES
HRR068024.bam::NOT_FOUND,WES
HRR068025.bam::NOT_FOUND,WES
HRR068026.bam::NOT_FOUND,WES
HRR068027.bam::NOT_FOUND,WES
HRR068028.bam::NOT_FOUND,WES
HRR068029.bam::NOT_FOUND,WES
HRR068030.bam::NOT_FOUND,WES
HRR068031.bam::NOT_FOUND,WES
HRR068032.bam::NOT_FOUND,WES
HRR068033.bam::NOT_FOUND,WES
HRR068034.bam::NOT_FOUND,WES
HRR068035.bam::NOT_FOUND,WES
HRR068036.bam::NOT_FOUND,WES
HRR068037.bam::NOT_FOUND,WES
HRR068038.bam::NOT_FOUND,WES
HRR068039.bam::NOT_FOUND,WES
HRR068040.bam::NOT_FOUND,WES
HRR068041.bam::NOT_FOUND,WES
HRR068042.bam::NOT_FOUND,WES
HRR068043.bam::NOT_FOUND,WES
HRR068044.bam::NOT_FOUND,WES
HRR068045.bam::NOT_FOUND,WES
HRR068046.bam::NOT_FOUND,WES
HRR068047.bam::NOT_FOUND,WES
HRR068048.bam::NOT_FOUND,WES
HRR068049.bam::NOT_FOUND,WES
HRR068050.bam::NOT_FOUND,WES
HRR068051.bam::NOT_FOUND,WES
HRR068052.bam::NOT_FOUND,WES
HRR068053.bam::NOT_FOUND,WES
HRR068054.bam::NOT_FOUND,WES
HRR068055.bam::NOT_FOUND,WES
HRR068056.bam::NOT_FOUND,WES
HRR068057.bam::NOT_FOUND,WES
HRR068058.bam::NOT_FOUND,WES
HRR068059.bam::NOT_FOUND,WES
HRR068060.bam::NOT_FOUND,WES
HRR068061.bam::NOT_FOUND,WES
HRR068062.bam::NOT_FOUND,WES
HRR068063.bam::NOT_FOUND,WES
HRR068064.bam::NOT_FOUND,WES
HRR068065.bam::NOT_FOUND,WES
HRR068066.bam::NOT_FOUND,WES
HRR068067.bam::NOT_FOUND,WES
HRR068068.bam::NOT_FOUND,WES
HRR068069.bam::NOT_FOUND,WES
HRR068070.bam::NOT_FOUND,WES
HRR068071.bam::NOT_FOUND,WES
HRR068072.bam::NOT_FOUND,WES
HRR068073.bam::NOT_FOUND,WES
HRR068074.bam::NOT_FOUND,WES
HRR068075.bam::NOT_FOUND,WES
HRR068076.bam::NOT_FOUND,WES
HRR068077.bam::NOT_FOUND,WES
HRR068078.bam::NOT_FOUND,WES
HRR068079.bam::NOT_FOUND,WES
HRR068080.bam::NOT_FOUND,WES
HRR068081.bam::NOT_FOUND,WES
HRR068082.bam::NOT_FOUND,WES
HRR068083.bam::NOT_FOUND,WES
HRR068084.bam::NOT_FOUND,WES
HRR068085.bam::NOT_FOUND,WES
HRR068086.bam::NOT_FOUND,WES
HRR068087.bam::NOT_FOUND,WES
HRR068088.bam::NOT_FOUND,WES
HRR068089.bam::NOT_FOUND,WES
HRR068090.bam::NOT_FOUND,WES
HRR068091.bam::NOT_FOUND,WES
HRR068092.bam::NOT_FOUND,WES
HRR068093.bam::NOT_FOUND,WES
HRR068094.bam::NOT_FOUND,WES
HRR068095.bam::NOT_FOUND,WES
HRR068096.bam::NOT_FOUND,WES
HRR068097.bam::NOT_FOUND,WES
HRR068098.bam::NOT_FOUND,WES
HRR068099.bam::NOT_FOUND,WES
HRR068100.bam::NOT_FOUND,WES
HRR068101.bam::NOT_FOUND,WES
HRR068102.bam::NOT_FOUND,WES
HRR068103.bam::NOT_FOUND,WES
HRR068104.bam::NOT_FOUND,WES
HRR068105.bam::NOT_FOUND,WES
HRR068106.bam::NOT_FOUND,WES
HRR068107.bam::NOT_FOUND,WES
