t2_id,run_accession,files
HRR233122.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233122.BQSR.bam,HRR233122,HRR233122_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233122/HRR233122_f1.fastq.gz
HRR233122.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233122.BQSR.bam,HRR233122,HRR233122_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233122/HRR233122_r2.fastq.gz
HRR233123.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233123.BQSR.bam,HRR233123,HRR233123_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233123/HRR233123_f1.fastq.gz
HRR233123.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233123.BQSR.bam,HRR233123,HRR233123_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233123/HRR233123_r2.fastq.gz
HRR233124.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233124.BQSR.bam,HRR233124,HRR233124_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233124/HRR233124_f1.fastq.gz
HRR233124.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233124.BQSR.bam,HRR233124,HRR233124_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233124/HRR233124_r2.fastq.gz
HRR233125.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233125.BQSR.bam,HRR233125,HRR233125_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233125/HRR233125_f1.fastq.gz
HRR233125.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233125.BQSR.bam,HRR233125,HRR233125_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233125/HRR233125_r2.fastq.gz
HRR233126.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233126.BQSR.bam,HRR233126,HRR233126_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233126/HRR233126_f1.fastq.gz
HRR233126.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233126.BQSR.bam,HRR233126,HRR233126_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233126/HRR233126_r2.fastq.gz
