files,study_accession
HRR026013_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026013_f1.fq.gz,HRA000074
HRR026013_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026013_r2.fq.gz,HRA000074
HRR026014_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026014_f1.fq.gz,HRA000074
HRR026014_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026014_r2.fq.gz,HRA000074
HRR026015_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026015_f1.fq.gz,HRA000074
HRR026015_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026015_r2.fq.gz,HRA000074
HRR026016_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026016_f1.fq.gz,HRA000074
HRR026016_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026016_r2.fq.gz,HRA000074
HRR026017_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026017_f1.fq.gz,HRA000074
HRR026017_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026017_r2.fq.gz,HRA000074
HRR026018_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026018_f1.fq.gz,HRA000074
HRR026018_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026018_r2.fq.gz,HRA000074
HRR026019_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026019_f1.fq.gz,HRA000074
HRR026019_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026019_r2.fq.gz,HRA000074
HRR026020_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026020_f1.fq.gz,HRA000074
HRR026020_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026020_r2.fq.gz,HRA000074
HRR026021_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026021_f1.fq.gz,HRA000074
HRR026021_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026021_r2.fq.gz,HRA000074
HRR026022_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026022_f1.fq.gz,HRA000074
HRR026022_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026022_r2.fq.gz,HRA000074
HRR026023_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026023_f1.fq.gz,HRA000074
HRR026023_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026023_r2.fq.gz,HRA000074
HRR026024_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026024_f1.fq.gz,HRA000074
HRR026024_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026024_r2.fq.gz,HRA000074
HRR026025_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026025_f1.fq.gz,HRA000074
HRR026025_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026025_r2.fq.gz,HRA000074
HRR026026_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026026_f1.fq.gz,HRA000074
HRR026026_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026026_r2.fq.gz,HRA000074
HRR026027_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026027_f1.fq.gz,HRA000074
HRR026027_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026027_r2.fq.gz,HRA000074
HRR026028_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026028_f1.fq.gz,HRA000074
HRR026028_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026028_r2.fq.gz,HRA000074
HRR026029_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026029_f1.fq.gz,HRA000074
HRR026029_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026029_r2.fq.gz,HRA000074
HRR026030_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026030_f1.fq.gz,HRA000074
HRR026030_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026030_r2.fq.gz,HRA000074
HRR026031_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026031_f1.fq.gz,HRA000074
HRR026031_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026031_r2.fq.gz,HRA000074
HRR026032_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026032_f1.fq.gz,HRA000074
HRR026032_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026032_r2.fq.gz,HRA000074
HRR026033_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026033_f1.fq.gz,HRA000074
HRR026033_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026033_r2.fq.gz,HRA000074
HRR026034_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026034_f1.fq.gz,HRA000074
HRR026034_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026034_r2.fq.gz,HRA000074
HRR026035_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026035_f1.fq.gz,HRA000074
HRR026035_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026035_r2.fq.gz,HRA000074
HRR026036_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026036_f1.fq.gz,HRA000074
HRR026036_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026036_r2.fq.gz,HRA000074
HRR026037_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026037_f1.fq.gz,HRA000074
HRR026037_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026037_r2.fq.gz,HRA000074
HRR026038_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026038_f1.fq.gz,HRA000074
HRR026038_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026038_r2.fq.gz,HRA000074
HRR026039_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026039_f1.fq.gz,HRA000074
HRR026039_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026039_r2.fq.gz,HRA000074
HRR026040_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026040_f1.fq.gz,HRA000074
HRR026040_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026040_r2.fq.gz,HRA000074
HRR026041_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026041_f1.fq.gz,HRA000074
HRR026041_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026041_r2.fq.gz,HRA000074
HRR026042_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026042_f1.fq.gz,HRA000074
HRR026042_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026042_r2.fq.gz,HRA000074
HRR026043_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026043_f1.fq.gz,HRA000074
HRR026043_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026043_r2.fq.gz,HRA000074
HRR026044_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026044_f1.fq.gz,HRA000074
HRR026044_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026044_r2.fq.gz,HRA000074
HRR026045_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026045_f1.fq.gz,HRA000074
HRR026045_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026045_r2.fq.gz,HRA000074
HRR026046_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026046_f1.fq.gz,HRA000074
HRR026046_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026046_r2.fq.gz,HRA000074
HRR026047_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026047_f1.fq.gz,HRA000074
HRR026047_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026047_r2.fq.gz,HRA000074
HRR026048_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026048_f1.fq.gz,HRA000074
HRR026048_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026048_r2.fq.gz,HRA000074
HRR026049_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026049_f1.fq.gz,HRA000074
HRR026049_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026049_r2.fq.gz,HRA000074
HRR026050_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026050_f1.fq.gz,HRA000074
HRR026050_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026050_r2.fq.gz,HRA000074
HRR026051_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026051_f1.fq.gz,HRA000074
HRR026051_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026051_r2.fq.gz,HRA000074
HRR026052_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026052_f1.fq.gz,HRA000074
HRR026052_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026052_r2.fq.gz,HRA000074
HRR026053_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026053_f1.fq.gz,HRA000074
HRR026053_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026053_r2.fq.gz,HRA000074
HRR026054_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026054_f1.fq.gz,HRA000074
HRR026054_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026054_r2.fq.gz,HRA000074
HRR026055_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026055_f1.fq.gz,HRA000074
HRR026055_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026055_r2.fq.gz,HRA000074
HRR026056_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026056_f1.fq.gz,HRA000074
HRR026056_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026056_r2.fq.gz,HRA000074
HRR026057_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026057_f1.fq.gz,HRA000074
HRR026057_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026057_r2.fq.gz,HRA000074
HRR026058_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026058_f1.fq.gz,HRA000074
HRR026058_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026058_r2.fq.gz,HRA000074
HRR026059_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026059_f1.fq.gz,HRA000074
HRR026059_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026059_r2.fq.gz,HRA000074
HRR026060_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026060_f1.fq.gz,HRA000074
HRR026060_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026060_r2.fq.gz,HRA000074
HRR026061_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026061_f1.fq.gz,HRA000074
HRR026061_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026061_r2.fq.gz,HRA000074
HRR026062_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026062_f1.fq.gz,HRA000074
HRR026062_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026062_r2.fq.gz,HRA000074
HRR026063_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026063_f1.fq.gz,HRA000074
HRR026063_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026063_r2.fq.gz,HRA000074
HRR026064_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026064_f1.fq.gz,HRA000074
HRR026064_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026064_r2.fq.gz,HRA000074
HRR026065_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026065_f1.fq.gz,HRA000074
HRR026065_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026065_r2.fq.gz,HRA000074
HRR026066_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026066_f1.fq.gz,HRA000074
HRR026066_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026066_r2.fq.gz,HRA000074
HRR026067_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026067_f1.fq.gz,HRA000074
HRR026067_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026067_r2.fq.gz,HRA000074
HRR026068_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026068_f1.fq.gz,HRA000074
HRR026068_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026068_r2.fq.gz,HRA000074
HRR026069_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026069_f1.fq.gz,HRA000074
HRR026069_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026069_r2.fq.gz,HRA000074
HRR026070_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026070_f1.fq.gz,HRA000074
HRR026070_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026070_r2.fq.gz,HRA000074
HRR026071_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026071_f1.fq.gz,HRA000074
HRR026071_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026071_r2.fq.gz,HRA000074
HRR026072_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026072_f1.fq.gz,HRA000074
HRR026072_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026072_r2.fq.gz,HRA000074
HRR026073_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026073_f1.fq.gz,HRA000074
HRR026073_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026073_r2.fq.gz,HRA000074
HRR026074_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026074_f1.fq.gz,HRA000074
HRR026074_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026074_r2.fq.gz,HRA000074
HRR026075_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026075_f1.fq.gz,HRA000074
HRR026075_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026075_r2.fq.gz,HRA000074
HRR026076_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026076_f1.fq.gz,HRA000074
HRR026076_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026076_r2.fq.gz,HRA000074
HRR026077_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026077_f1.fq.gz,HRA000074
HRR026077_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026077_r2.fq.gz,HRA000074
HRR026078_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026078_f1.fq.gz,HRA000074
HRR026078_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026078_r2.fq.gz,HRA000074
HRR026079_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026079_f1.fq.gz,HRA000074
HRR026079_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026079_r2.fq.gz,HRA000074
HRR026080_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026080_f1.fq.gz,HRA000074
HRR026080_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026080_r2.fq.gz,HRA000074
HRR026081_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026081_f1.fq.gz,HRA000074
HRR026081_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026081_r2.fq.gz,HRA000074
HRR026082_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026082_f1.fq.gz,HRA000074
HRR026082_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026082_r2.fq.gz,HRA000074
HRR026083_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026083_f1.fq.gz,HRA000074
HRR026083_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026083_r2.fq.gz,HRA000074
HRR026084_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026084_f1.fq.gz,HRA000074
HRR026084_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026084_r2.fq.gz,HRA000074
HRR026085_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026085_f1.fq.gz,HRA000074
HRR026085_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026085_r2.fq.gz,HRA000074
HRR026086_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026086_f1.fq.gz,HRA000074
HRR026086_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026086_r2.fq.gz,HRA000074
HRR026087_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026087_f1.fq.gz,HRA000074
HRR026087_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026087_r2.fq.gz,HRA000074
HRR026088_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026088_f1.fq.gz,HRA000074
HRR026088_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026088_r2.fq.gz,HRA000074
HRR026089_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026089_f1.fq.gz,HRA000074
HRR026089_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026089_r2.fq.gz,HRA000074
HRR026090_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026090_f1.fq.gz,HRA000074
HRR026090_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026090_r2.fq.gz,HRA000074
HRR026091_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026091_f1.fq.gz,HRA000074
HRR026091_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026091_r2.fq.gz,HRA000074
HRR026092_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026092_f1.fq.gz,HRA000074
HRR026092_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026092_r2.fq.gz,HRA000074
HRR026093_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026093_f1.fq.gz,HRA000074
HRR026093_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026093_r2.fq.gz,HRA000074
HRR026094_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026094_f1.fq.gz,HRA000074
HRR026094_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026094_r2.fq.gz,HRA000074
HRR026095_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026095_f1.fq.gz,HRA000074
HRR026095_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026095_r2.fq.gz,HRA000074
HRR026096_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026096_f1.fq.gz,HRA000074
HRR026096_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026096_r2.fq.gz,HRA000074
HRR026097_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026097_f1.fq.gz,HRA000074
HRR026097_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026097_r2.fq.gz,HRA000074
HRR026098_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026098_f1.fq.gz,HRA000074
HRR026098_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026098_r2.fq.gz,HRA000074
HRR026099_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026099_f1.fq.gz,HRA000074
HRR026099_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026099_r2.fq.gz,HRA000074
HRR026100_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026100_f1.fq.gz,HRA000074
HRR026100_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026100_r2.fq.gz,HRA000074
HRR026101_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026101_f1.fq.gz,HRA000074
HRR026101_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026101_r2.fq.gz,HRA000074
HRR026102_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026102_f1.fq.gz,HRA000074
HRR026102_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026102_r2.fq.gz,HRA000074
HRR026103_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026103_f1.fq.gz,HRA000074
HRR026103_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026103_r2.fq.gz,HRA000074
HRR026104_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026104_f1.fq.gz,HRA000074
HRR026104_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026104_r2.fq.gz,HRA000074
HRR026105_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026105_f1.fq.gz,HRA000074
HRR026105_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026105_r2.fq.gz,HRA000074
HRR026106_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026106_f1.fq.gz,HRA000074
HRR026106_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026106_r2.fq.gz,HRA000074
HRR026107_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026107_f1.fq.gz,HRA000074
HRR026107_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026107_r2.fq.gz,HRA000074
HRR026108_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026108_f1.fq.gz,HRA000074
HRR026108_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026108_r2.fq.gz,HRA000074
HRR026109_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026109_f1.fq.gz,HRA000074
HRR026109_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026109_r2.fq.gz,HRA000074
HRR026110_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026110_f1.fq.gz,HRA000074
HRR026110_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026110_r2.fq.gz,HRA000074
HRR026111_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026111_f1.fq.gz,HRA000074
HRR026111_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026111_r2.fq.gz,HRA000074
HRR026112_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026112_f1.fq.gz,HRA000074
HRR026112_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026112_r2.fq.gz,HRA000074
HRR026113_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026113_f1.fq.gz,HRA000074
HRR026113_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026113_r2.fq.gz,HRA000074
HRR026114_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026114_f1.fq.gz,HRA000074
HRR026114_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026114_r2.fq.gz,HRA000074
HRR026115_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026115_f1.fq.gz,HRA000074
HRR026115_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026115_r2.fq.gz,HRA000074
HRR026116_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026116_f1.fq.gz,HRA000074
HRR026116_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026116_r2.fq.gz,HRA000074
HRR026117_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026117_f1.fq.gz,HRA000074
HRR026117_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026117_r2.fq.gz,HRA000074
HRR026118_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026118_f1.fq.gz,HRA000074
HRR026118_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026118_r2.fq.gz,HRA000074
HRR026119_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026119_f1.fq.gz,HRA000074
HRR026119_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026119_r2.fq.gz,HRA000074
HRR026120_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026120_f1.fq.gz,HRA000074
HRR026120_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026120_r2.fq.gz,HRA000074
HRR026121_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026121_f1.fq.gz,HRA000074
HRR026121_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026121_r2.fq.gz,HRA000074
HRR026122_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026122_f1.fq.gz,HRA000074
HRR026122_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026122_r2.fq.gz,HRA000074
HRR026123_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026123_f1.fq.gz,HRA000074
HRR026123_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026123_r2.fq.gz,HRA000074
HRR026124_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026124_f1.fq.gz,HRA000074
HRR026124_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026124_r2.fq.gz,HRA000074
HRR026125_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026125_f1.fq.gz,HRA000074
HRR026125_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026125_r2.fq.gz,HRA000074
HRR026126_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026126_f1.fq.gz,HRA000074
HRR026126_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026126_r2.fq.gz,HRA000074
HRR026127_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026127_f1.fq.gz,HRA000074
HRR026127_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026127_r2.fq.gz,HRA000074
HRR026128_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026128_f1.fq.gz,HRA000074
HRR026128_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026128_r2.fq.gz,HRA000074
HRR026129_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026129_f1.fq.gz,HRA000074
HRR026129_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026129_r2.fq.gz,HRA000074
HRR026130_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026130_f1.fq.gz,HRA000074
HRR026130_r2.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026130_r2.fq.gz,HRA000074
HRR026131_f1.fq.gz::/hpcdisk1/cbb_group/data/HRA000074/HRR026131_f1.fq.gz,HRA000074
