t2_id,format
HRR067352.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067352.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067884.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067884.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067885.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067885.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067353.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067886.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067886.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067887.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067887.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067888.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067888.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067889.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067889.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067890.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067890.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067891.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067891.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067892.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067892.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067893.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067893.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067894.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067894.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067895.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067895.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067896.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067896.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067897.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067897.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067898.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067898.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067899.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067899.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067900.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067900.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067901.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067901.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067902.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067902.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067903.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067903.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067904.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067904.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067905.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067905.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067906.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067906.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067907.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067907.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067908.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067908.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067909.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067909.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067910.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067910.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067911.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067911.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067912.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067912.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067913.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067913.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067914.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067914.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067915.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067915.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067916.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067916.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067917.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067917.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067918.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067918.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067919.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067919.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067920.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067920.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067921.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067921.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067922.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067922.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067923.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067923.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067924.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067924.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067925.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067925.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067926.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067926.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067927.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067927.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067928.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067928.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
HRR067929.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067929.BQSR.bam,DNA_ALIGNMENT_BQSR_BAM
