study_accession,t2_id,files,file_type,format,size,data_level,size_bytes,file_path,strategy,run_accession,semantic_format,sample_accession,individual_accession
HRA000021,HRR067868.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067868.BQSR.bam,HRR067868.BQSR.bam,BAM-files,BQSR.bam,168.84 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067868.BQSR.bam,WES,HRR067868,DNA_ALIGNMENT_BQSR_BAM,HRS040313,HRI035546
HRA000021,HRR067869.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067869.BQSR.bam,HRR067869.BQSR.bam,BAM-files,BQSR.bam,55.37 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067869.BQSR.bam,WES,HRR067869,DNA_ALIGNMENT_BQSR_BAM,HRS040314,HRI035547
HRA000021,HRR067870.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067870.BQSR.bam,HRR067870.BQSR.bam,BAM-files,BQSR.bam,103.84 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067870.BQSR.bam,WES,HRR067870,DNA_ALIGNMENT_BQSR_BAM,HRS040315,HRI035547
HRA000021,HRR067871.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067871.BQSR.bam,HRR067871.BQSR.bam,BAM-files,BQSR.bam,63.85 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067871.BQSR.bam,WES,HRR067871,DNA_ALIGNMENT_BQSR_BAM,HRS040316,HRI035548
HRA000021,HRR067872.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067872.BQSR.bam,HRR067872.BQSR.bam,BAM-files,BQSR.bam,141.66 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067872.BQSR.bam,WES,HRR067872,DNA_ALIGNMENT_BQSR_BAM,HRS040317,HRI035548
HRA000021,HRR067873.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067873.BQSR.bam,HRR067873.BQSR.bam,BAM-files,BQSR.bam,67.40 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067873.BQSR.bam,WES,HRR067873,DNA_ALIGNMENT_BQSR_BAM,HRS040318,HRI035549
HRA000021,HRR067874.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067874.BQSR.bam,HRR067874.BQSR.bam,BAM-files,BQSR.bam,163.75 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067874.BQSR.bam,WES,HRR067874,DNA_ALIGNMENT_BQSR_BAM,HRS040319,HRI035549
HRA000021,HRR067875.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067875.BQSR.bam,HRR067875.BQSR.bam,BAM-files,BQSR.bam,55.93 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067875.BQSR.bam,WES,HRR067875,DNA_ALIGNMENT_BQSR_BAM,HRS040320,HRI035550
HRA000021,HRR067349.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067349.BQSR.bam,HRR067349.BQSR.bam,BAM-files,BQSR.bam,77.66 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067349.BQSR.bam,WES,HRR067349,DNA_ALIGNMENT_BQSR_BAM,HRS039794,HRI035287
HRA000021,HRR067876.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067876.BQSR.bam,HRR067876.BQSR.bam,BAM-files,BQSR.bam,148.15 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067876.BQSR.bam,WES,HRR067876,DNA_ALIGNMENT_BQSR_BAM,HRS040321,HRI035550
HRA000021,HRR067877.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067877.BQSR.bam,HRR067877.BQSR.bam,BAM-files,BQSR.bam,57.33 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067877.BQSR.bam,WES,HRR067877,DNA_ALIGNMENT_BQSR_BAM,HRS040322,HRI035551
HRA000021,HRR067878.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067878.BQSR.bam,HRR067878.BQSR.bam,BAM-files,BQSR.bam,131.48 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067878.BQSR.bam,WES,HRR067878,DNA_ALIGNMENT_BQSR_BAM,HRS040323,HRI035551
HRA000021,HRR067879.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067879.BQSR.bam,HRR067879.BQSR.bam,BAM-files,BQSR.bam,62.01 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067879.BQSR.bam,WES,HRR067879,DNA_ALIGNMENT_BQSR_BAM,HRS040324,HRI035552
HRA000021,HRR067350.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067350.BQSR.bam,HRR067350.BQSR.bam,BAM-files,BQSR.bam,174.42 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067350.BQSR.bam,WES,HRR067350,DNA_ALIGNMENT_BQSR_BAM,HRS039795,HRI035287
HRA000021,HRR067880.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067880.BQSR.bam,HRR067880.BQSR.bam,BAM-files,BQSR.bam,141.58 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067880.BQSR.bam,WES,HRR067880,DNA_ALIGNMENT_BQSR_BAM,HRS040325,HRI035552
HRA000021,HRR067351.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067351.BQSR.bam,HRR067351.BQSR.bam,BAM-files,BQSR.bam,65.76 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067351.BQSR.bam,WES,HRR067351,DNA_ALIGNMENT_BQSR_BAM,HRS039796,HRI035288
HRA000021,HRR067881.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067881.BQSR.bam,HRR067881.BQSR.bam,BAM-files,BQSR.bam,68.24 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067881.BQSR.bam,WES,HRR067881,DNA_ALIGNMENT_BQSR_BAM,HRS040326,HRI035553
HRA000021,HRR067882.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067882.BQSR.bam,HRR067882.BQSR.bam,BAM-files,BQSR.bam,164.11 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067882.BQSR.bam,WES,HRR067882,DNA_ALIGNMENT_BQSR_BAM,HRS040327,HRI035553
HRA000021,HRR067883.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067883.BQSR.bam,HRR067883.BQSR.bam,BAM-files,BQSR.bam,65.84 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067883.BQSR.bam,WES,HRR067883,DNA_ALIGNMENT_BQSR_BAM,HRS040328,HRI035554
HRA000021,HRR067352.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067352.BQSR.bam,HRR067352.BQSR.bam,BAM-files,BQSR.bam,165.64 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067352.BQSR.bam,WES,HRR067352,DNA_ALIGNMENT_BQSR_BAM,HRS039797,HRI035288
HRA000021,HRR067884.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067884.BQSR.bam,HRR067884.BQSR.bam,BAM-files,BQSR.bam,138.55 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067884.BQSR.bam,WES,HRR067884,DNA_ALIGNMENT_BQSR_BAM,HRS040329,HRI035554
HRA000021,HRR067885.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067885.BQSR.bam,HRR067885.BQSR.bam,BAM-files,BQSR.bam,66.06 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067885.BQSR.bam,WES,HRR067885,DNA_ALIGNMENT_BQSR_BAM,HRS040330,HRI035555
HRA000021,HRR067353.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam,HRR067353.BQSR.bam,BAM-files,BQSR.bam,72.18 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam,WES,HRR067353,DNA_ALIGNMENT_BQSR_BAM,HRS039798,HRI035289
HRA000021,HRR067886.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067886.BQSR.bam,HRR067886.BQSR.bam,BAM-files,BQSR.bam,119.28 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067886.BQSR.bam,WES,HRR067886,DNA_ALIGNMENT_BQSR_BAM,HRS040331,HRI035555
HRA000021,HRR067887.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067887.BQSR.bam,HRR067887.BQSR.bam,BAM-files,BQSR.bam,68.32 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067887.BQSR.bam,WES,HRR067887,DNA_ALIGNMENT_BQSR_BAM,HRS040332,HRI035556
HRA000021,HRR067888.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067888.BQSR.bam,HRR067888.BQSR.bam,BAM-files,BQSR.bam,131.25 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067888.BQSR.bam,WES,HRR067888,DNA_ALIGNMENT_BQSR_BAM,HRS040333,HRI035556
HRA000021,HRR067889.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067889.BQSR.bam,HRR067889.BQSR.bam,BAM-files,BQSR.bam,72.03 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067889.BQSR.bam,WES,HRR067889,DNA_ALIGNMENT_BQSR_BAM,HRS040334,HRI035557
HRA000021,HRR067890.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067890.BQSR.bam,HRR067890.BQSR.bam,BAM-files,BQSR.bam,164.00 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067890.BQSR.bam,WES,HRR067890,DNA_ALIGNMENT_BQSR_BAM,HRS040335,HRI035557
HRA000021,HRR067891.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067891.BQSR.bam,HRR067891.BQSR.bam,BAM-files,BQSR.bam,58.88 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067891.BQSR.bam,WES,HRR067891,DNA_ALIGNMENT_BQSR_BAM,HRS040336,HRI035558
HRA000021,HRR067892.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067892.BQSR.bam,HRR067892.BQSR.bam,BAM-files,BQSR.bam,163.48 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067892.BQSR.bam,WES,HRR067892,DNA_ALIGNMENT_BQSR_BAM,HRS040337,HRI035558
HRA000021,HRR067893.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067893.BQSR.bam,HRR067893.BQSR.bam,BAM-files,BQSR.bam,85.03 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067893.BQSR.bam,WES,HRR067893,DNA_ALIGNMENT_BQSR_BAM,HRS040338,HRI035559
HRA000021,HRR067894.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067894.BQSR.bam,HRR067894.BQSR.bam,BAM-files,BQSR.bam,190.91 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067894.BQSR.bam,WES,HRR067894,DNA_ALIGNMENT_BQSR_BAM,HRS040339,HRI035559
HRA000021,HRR067895.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067895.BQSR.bam,HRR067895.BQSR.bam,BAM-files,BQSR.bam,64.86 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067895.BQSR.bam,WES,HRR067895,DNA_ALIGNMENT_BQSR_BAM,HRS040340,HRI035560
HRA000021,HRR067896.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067896.BQSR.bam,HRR067896.BQSR.bam,BAM-files,BQSR.bam,157.79 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067896.BQSR.bam,WES,HRR067896,DNA_ALIGNMENT_BQSR_BAM,HRS040341,HRI035560
HRA000021,HRR067897.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067897.BQSR.bam,HRR067897.BQSR.bam,BAM-files,BQSR.bam,67.97 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067897.BQSR.bam,WES,HRR067897,DNA_ALIGNMENT_BQSR_BAM,HRS040342,HRI035561
HRA000021,HRR067898.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067898.BQSR.bam,HRR067898.BQSR.bam,BAM-files,BQSR.bam,154.12 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067898.BQSR.bam,WES,HRR067898,DNA_ALIGNMENT_BQSR_BAM,HRS040343,HRI035561
HRA000021,HRR067899.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067899.BQSR.bam,HRR067899.BQSR.bam,BAM-files,BQSR.bam,64.90 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067899.BQSR.bam,WES,HRR067899,DNA_ALIGNMENT_BQSR_BAM,HRS040344,HRI035562
HRA000021,HRR067900.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067900.BQSR.bam,HRR067900.BQSR.bam,BAM-files,BQSR.bam,159.52 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067900.BQSR.bam,WES,HRR067900,DNA_ALIGNMENT_BQSR_BAM,HRS040345,HRI035562
HRA000021,HRR067901.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067901.BQSR.bam,HRR067901.BQSR.bam,BAM-files,BQSR.bam,71.38 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067901.BQSR.bam,WES,HRR067901,DNA_ALIGNMENT_BQSR_BAM,HRS040346,HRI035563
HRA000021,HRR067902.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067902.BQSR.bam,HRR067902.BQSR.bam,BAM-files,BQSR.bam,143.77 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067902.BQSR.bam,WES,HRR067902,DNA_ALIGNMENT_BQSR_BAM,HRS040347,HRI035563
HRA000021,HRR067903.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067903.BQSR.bam,HRR067903.BQSR.bam,BAM-files,BQSR.bam,54.42 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067903.BQSR.bam,WES,HRR067903,DNA_ALIGNMENT_BQSR_BAM,HRS040348,HRI035564
